events,time,date,date-time,reset,rtc_reset,device_id,stream
1,03:46 PM,04-17-2026,04-17-2026 15:46:10,1,0,eGFP5,WHEEL
2,03:46 PM,04-17-2026,04-17-2026 15:46:10,0,0,eGFP5,WHEEL
3,03:46 PM,04-17-2026,04-17-2026 15:46:10,0,0,eGFP5,WHEEL
4,03:46 PM,04-17-2026,04-17-2026 15:46:11,0,0,eGFP5,WHEEL
5,03:46 PM,04-17-2026,04-17-2026 15:46:11,0,0,eGFP5,WHEEL
6,03:46 PM,04-17-2026,04-17-2026 15:46:11,0,0,eGFP5,WHEEL
7,03:46 PM,04-17-2026,04-17-2026 15:46:11,0,0,eGFP5,WHEEL
8,03:46 PM,04-17-2026,04-17-2026 15:46:11,0,0,eGFP5,WHEEL
9,03:46 PM,04-17-2026,04-17-2026 15:46:12,0,0,eGFP5,WHEEL
10,03:46 PM,04-17-2026,04-17-2026 15:46:12,0,0,eGFP5,WHEEL
11,03:46 PM,04-17-2026,04-17-2026 15:46:12,0,0,eGFP5,WHEEL
12,03:46 PM,04-17-2026,04-17-2026 15:46:29,1,0,eGFP5,WHEEL
13,03:46 PM,04-17-2026,04-17-2026 15:46:29,0,0,eGFP5,WHEEL
14,03:46 PM,04-17-2026,04-17-2026 15:46:30,0,0,eGFP5,WHEEL
15,04:47 PM,04-17-2026,04-17-2026 16:47:50,0,0,eGFP5,WHEEL
16,04:48 PM,04-17-2026,04-17-2026 16:48:17,0,0,eGFP5,WHEEL
17,04:52 PM,04-17-2026,04-17-2026 16:52:43,0,0,eGFP5,WHEEL
18,04:52 PM,04-17-2026,04-17-2026 16:52:44,0,0,eGFP5,WHEEL
19,04:52 PM,04-17-2026,04-17-2026 16:52:45,0,0,eGFP5,WHEEL
20,04:52 PM,04-17-2026,04-17-2026 16:52:46,0,0,eGFP5,WHEEL
21,04:52 PM,04-17-2026,04-17-2026 16:52:47,0,0,eGFP5,WHEEL
22,04:52 PM,04-17-2026,04-17-2026 16:52:48,0,0,eGFP5,WHEEL
23,05:00 PM,04-17-2026,04-17-2026 17:00:19,0,0,eGFP5,WHEEL
24,05:02 PM,04-17-2026,04-17-2026 17:02:00,0,0,eGFP5,WHEEL
25,05:04 PM,04-17-2026,04-17-2026 17:04:59,0,0,eGFP5,WHEEL
26,05:05 PM,04-17-2026,04-17-2026 17:05:57,0,0,eGFP5,WHEEL
27,05:06 PM,04-17-2026,04-17-2026 17:06:35,0,0,eGFP5,WHEEL
28,05:07 PM,04-17-2026,04-17-2026 17:07:22,0,0,eGFP5,WHEEL
29,05:07 PM,04-17-2026,04-17-2026 17:07:42,0,0,eGFP5,WHEEL
30,05:08 PM,04-17-2026,04-17-2026 17:08:56,0,0,eGFP5,WHEEL
31,05:09 PM,04-17-2026,04-17-2026 17:09:47,0,0,eGFP5,WHEEL
32,05:10 PM,04-17-2026,04-17-2026 17:10:56,0,0,eGFP5,WHEEL
33,05:12 PM,04-17-2026,04-17-2026 17:12:58,0,0,eGFP5,WHEEL
34,05:14 PM,04-17-2026,04-17-2026 17:14:04,0,0,eGFP5,WHEEL
35,05:16 PM,04-17-2026,04-17-2026 17:16:08,0,0,eGFP5,WHEEL
36,05:17 PM,04-17-2026,04-17-2026 17:17:02,0,0,eGFP5,WHEEL
37,05:20 PM,04-17-2026,04-17-2026 17:20:06,0,0,eGFP5,WHEEL
38,05:20 PM,04-17-2026,04-17-2026 17:20:24,0,0,eGFP5,WHEEL
39,05:21 PM,04-17-2026,04-17-2026 17:21:27,0,0,eGFP5,WHEEL
40,05:23 PM,04-17-2026,04-17-2026 17:23:41,0,0,eGFP5,WHEEL
41,05:25 PM,04-17-2026,04-17-2026 17:25:12,0,0,eGFP5,WHEEL
42,05:26 PM,04-17-2026,04-17-2026 17:26:23,0,0,eGFP5,WHEEL
43,05:26 PM,04-17-2026,04-17-2026 17:26:58,0,0,eGFP5,WHEEL
44,05:27 PM,04-17-2026,04-17-2026 17:27:09,0,0,eGFP5,WHEEL
45,05:27 PM,04-17-2026,04-17-2026 17:27:43,0,0,eGFP5,WHEEL
46,05:28 PM,04-17-2026,04-17-2026 17:28:51,0,0,eGFP5,WHEEL
47,05:38 PM,04-17-2026,04-17-2026 17:38:30,0,0,eGFP5,WHEEL
48,05:41 PM,04-17-2026,04-17-2026 17:41:12,0,0,eGFP5,WHEEL
49,06:27 PM,04-17-2026,04-17-2026 18:27:09,0,0,eGFP5,WHEEL
50,06:30 PM,04-17-2026,04-17-2026 18:30:55,0,0,eGFP5,WHEEL
51,06:44 PM,04-17-2026,04-17-2026 18:44:13,0,0,eGFP5,WHEEL
52,06:50 PM,04-17-2026,04-17-2026 18:50:42,0,0,eGFP5,WHEEL
