events,time,date,date-time,reset,rtc_reset,device_id,stream,
61,4:43 PM,04-21-2026,04-21-2026 16:43:52,0,0,eGFP3,WHEEL,
62,4:43 PM,04-21-2026,04-21-2026 16:43:53,0,0,eGFP3,WHEEL,
63,4:43 PM,04-21-2026,04-21-2026 16:43:55,0,0,eGFP3,WHEEL,
64,4:43 PM,04-21-2026,04-21-2026 16:43:56,0,0,eGFP3,WHEEL,
65,4:44 PM,04-21-2026,04-21-2026 16:44:01,0,0,eGFP3,WHEEL,
66,4:44 PM,04-21-2026,04-21-2026 16:44:02,0,0,eGFP3,WHEEL,
67,4:44 PM,04-21-2026,04-21-2026 16:44:03,0,0,eGFP3,WHEEL,
68,4:44 PM,04-21-2026,04-21-2026 16:44:04,0,0,eGFP3,WHEEL,
69,4:44 PM,04-21-2026,04-21-2026 16:44:06,0,0,eGFP3,WHEEL,
70,4:44 PM,04-21-2026,04-21-2026 16:44:08,0,0,eGFP3,WHEEL,
71,4:44 PM,04-21-2026,04-21-2026 16:44:09,0,0,eGFP3,WHEEL,
72,4:44 PM,04-21-2026,04-21-2026 16:44:11,0,0,eGFP3,WHEEL,
73,4:44 PM,04-21-2026,04-21-2026 16:44:12,0,0,eGFP3,WHEEL,
74,4:44 PM,04-21-2026,04-21-2026 16:44:14,0,0,eGFP3,WHEEL,
75,4:44 PM,04-21-2026,04-21-2026 16:44:16,0,0,eGFP3,WHEEL,
76,4:44 PM,04-21-2026,04-21-2026 16:44:17,0,0,eGFP3,WHEEL,
77,4:44 PM,04-21-2026,04-21-2026 16:44:20,0,0,eGFP3,WHEEL,
78,4:44 PM,04-21-2026,04-21-2026 16:44:23,0,0,eGFP3,WHEEL,
79,4:44 PM,04-21-2026,04-21-2026 16:44:24,0,0,eGFP3,WHEEL,
80,4:44 PM,04-21-2026,04-21-2026 16:44:27,0,0,eGFP3,WHEEL,
81,4:44 PM,04-21-2026,04-21-2026 16:44:30,0,0,eGFP3,WHEEL,
82,4:44 PM,04-21-2026,04-21-2026 16:44:30,0,0,eGFP3,WHEEL,
83,4:44 PM,04-21-2026,04-21-2026 16:44:31,0,0,eGFP3,WHEEL,
84,4:44 PM,04-21-2026,04-21-2026 16:44:33,0,0,eGFP3,WHEEL,
85,4:44 PM,04-21-2026,04-21-2026 16:44:34,0,0,eGFP3,WHEEL,
86,4:44 PM,04-21-2026,04-21-2026 16:44:35,0,0,eGFP3,WHEEL,
87,4:44 PM,04-21-2026,04-21-2026 16:44:36,0,0,eGFP3,WHEEL,
88,4:44 PM,04-21-2026,04-21-2026 16:44:36,0,0,eGFP3,WHEEL,
89,4:44 PM,04-21-2026,04-21-2026 16:44:37,0,0,eGFP3,WHEEL,
90,4:44 PM,04-21-2026,04-21-2026 16:44:39,0,0,eGFP3,WHEEL,
91,4:44 PM,04-21-2026,04-21-2026 16:44:40,0,0,eGFP3,WHEEL,
92,4:44 PM,04-21-2026,04-21-2026 16:44:42,0,0,eGFP3,WHEEL,
93,4:44 PM,04-21-2026,04-21-2026 16:44:43,0,0,eGFP3,WHEEL,
94,4:44 PM,04-21-2026,04-21-2026 16:44:46,0,0,eGFP3,WHEEL,
95,4:44 PM,04-21-2026,04-21-2026 16:44:48,0,0,eGFP3,WHEEL,
96,4:44 PM,04-21-2026,04-21-2026 16:44:49,0,0,eGFP3,WHEEL,
97,4:44 PM,04-21-2026,04-21-2026 16:44:50,0,0,eGFP3,WHEEL,
98,4:44 PM,04-21-2026,04-21-2026 16:44:52,0,0,eGFP3,WHEEL,
99,4:44 PM,04-21-2026,04-21-2026 16:44:53,0,0,eGFP3,WHEEL,
100,4:44 PM,04-21-2026,04-21-2026 16:44:55,0,0,eGFP3,WHEEL,
101,4:44 PM,04-21-2026,04-21-2026 16:44:56,0,0,eGFP3,WHEEL,
102,4:44 PM,04-21-2026,04-21-2026 16:44:57,0,0,eGFP3,WHEEL,
103,4:44 PM,04-21-2026,04-21-2026 16:44:58,0,0,eGFP3,WHEEL,
104,4:44 PM,04-21-2026,04-21-2026 16:44:59,0,0,eGFP3,WHEEL,
105,4:45 PM,04-21-2026,04-21-2026 16:45:00,0,0,eGFP3,WHEEL,
106,4:45 PM,04-21-2026,04-21-2026 16:45:01,0,0,eGFP3,WHEEL,
107,4:45 PM,04-21-2026,04-21-2026 16:45:02,0,0,eGFP3,WHEEL,
108,4:45 PM,04-21-2026,04-21-2026 16:45:03,0,0,eGFP3,WHEEL,
109,4:45 PM,04-21-2026,04-21-2026 16:45:05,0,0,eGFP3,WHEEL,
110,4:45 PM,04-21-2026,04-21-2026 16:45:07,0,0,eGFP3,WHEEL,
111,4:45 PM,04-21-2026,04-21-2026 16:45:08,0,0,eGFP3,WHEEL,
112,4:45 PM,04-21-2026,04-21-2026 16:45:09,0,0,eGFP3,WHEEL,
113,4:45 PM,04-21-2026,04-21-2026 16:45:10,0,0,eGFP3,WHEEL,
114,4:45 PM,04-21-2026,04-21-2026 16:45:12,0,0,eGFP3,WHEEL,
115,4:45 PM,04-21-2026,04-21-2026 16:45:13,0,0,eGFP3,WHEEL,
116,4:45 PM,04-21-2026,04-21-2026 16:45:13,0,0,eGFP3,WHEEL,
117,4:45 PM,04-21-2026,04-21-2026 16:45:14,0,0,eGFP3,WHEEL,
118,4:45 PM,04-21-2026,04-21-2026 16:45:15,0,0,eGFP3,WHEEL,
119,4:45 PM,04-21-2026,04-21-2026 16:45:16,0,0,eGFP3,WHEEL,
120,4:45 PM,04-21-2026,04-21-2026 16:45:17,0,0,eGFP3,WHEEL,
121,4:45 PM,04-21-2026,04-21-2026 16:45:17,0,0,eGFP3,WHEEL,
122,4:45 PM,04-21-2026,04-21-2026 16:45:18,0,0,eGFP3,WHEEL,
