events,time,date,date-time,reset,rtc_reset,device_id,stream
1,05:49 PM,04-20-2026,04-20-2026 17:49:32,1,0,eGFP3,WHEEL
2,05:49 PM,04-20-2026,04-20-2026 17:49:32,0,0,eGFP3,WHEEL
3,05:49 PM,04-20-2026,04-20-2026 17:49:32,0,0,eGFP3,WHEEL
4,05:49 PM,04-20-2026,04-20-2026 17:49:33,0,0,eGFP3,WHEEL
5,05:49 PM,04-20-2026,04-20-2026 17:49:33,0,0,eGFP3,WHEEL
6,05:49 PM,04-20-2026,04-20-2026 17:49:33,0,0,eGFP3,WHEEL
7,05:49 PM,04-20-2026,04-20-2026 17:49:39,0,0,eGFP3,WHEEL
8,05:50 PM,04-20-2026,04-20-2026 17:50:04,0,0,eGFP3,WHEEL
9,05:50 PM,04-20-2026,04-20-2026 17:50:04,0,0,eGFP3,WHEEL
10,05:50 PM,04-20-2026,04-20-2026 17:50:05,0,0,eGFP3,WHEEL
11,05:50 PM,04-20-2026,04-20-2026 17:50:05,0,0,eGFP3,WHEEL
12,05:50 PM,04-20-2026,04-20-2026 17:50:15,0,0,eGFP3,WHEEL
13,05:50 PM,04-20-2026,04-20-2026 17:50:15,0,0,eGFP3,WHEEL
14,05:50 PM,04-20-2026,04-20-2026 17:50:16,0,0,eGFP3,WHEEL
15,05:50 PM,04-20-2026,04-20-2026 17:50:17,0,0,eGFP3,WHEEL
16,05:50 PM,04-20-2026,04-20-2026 17:50:18,0,0,eGFP3,WHEEL
17,05:50 PM,04-20-2026,04-20-2026 17:50:18,0,0,eGFP3,WHEEL
18,05:50 PM,04-20-2026,04-20-2026 17:50:20,0,0,eGFP3,WHEEL
19,05:50 PM,04-20-2026,04-20-2026 17:50:21,0,0,eGFP3,WHEEL
20,05:50 PM,04-20-2026,04-20-2026 17:50:21,0,0,eGFP3,WHEEL
21,05:50 PM,04-20-2026,04-20-2026 17:50:25,0,0,eGFP3,WHEEL
22,05:50 PM,04-20-2026,04-20-2026 17:50:32,0,0,eGFP3,WHEEL
23,05:50 PM,04-20-2026,04-20-2026 17:50:35,0,0,eGFP3,WHEEL
24,05:50 PM,04-20-2026,04-20-2026 17:50:36,0,0,eGFP3,WHEEL
25,05:50 PM,04-20-2026,04-20-2026 17:50:37,0,0,eGFP3,WHEEL
26,05:50 PM,04-20-2026,04-20-2026 17:50:38,0,0,eGFP3,WHEEL
27,05:50 PM,04-20-2026,04-20-2026 17:50:39,0,0,eGFP3,WHEEL
28,05:50 PM,04-20-2026,04-20-2026 17:50:40,0,0,eGFP3,WHEEL
29,05:50 PM,04-20-2026,04-20-2026 17:50:41,0,0,eGFP3,WHEEL
30,05:50 PM,04-20-2026,04-20-2026 17:50:42,0,0,eGFP3,WHEEL
31,05:50 PM,04-20-2026,04-20-2026 17:50:43,0,0,eGFP3,WHEEL
32,05:50 PM,04-20-2026,04-20-2026 17:50:43,0,0,eGFP3,WHEEL
33,05:50 PM,04-20-2026,04-20-2026 17:50:44,0,0,eGFP3,WHEEL
34,05:50 PM,04-20-2026,04-20-2026 17:50:45,0,0,eGFP3,WHEEL
35,05:50 PM,04-20-2026,04-20-2026 17:50:45,0,0,eGFP3,WHEEL
36,05:51 PM,04-20-2026,04-20-2026 17:51:05,0,0,eGFP3,WHEEL
37,05:51 PM,04-20-2026,04-20-2026 17:51:06,0,0,eGFP3,WHEEL
38,05:51 PM,04-20-2026,04-20-2026 17:51:07,0,0,eGFP3,WHEEL
39,05:51 PM,04-20-2026,04-20-2026 17:51:37,0,0,eGFP3,WHEEL
40,05:51 PM,04-20-2026,04-20-2026 17:51:38,0,0,eGFP3,WHEEL
41,05:51 PM,04-20-2026,04-20-2026 17:51:39,0,0,eGFP3,WHEEL
42,05:51 PM,04-20-2026,04-20-2026 17:51:40,0,0,eGFP3,WHEEL
43,05:51 PM,04-20-2026,04-20-2026 17:51:40,0,0,eGFP3,WHEEL
44,05:51 PM,04-20-2026,04-20-2026 17:51:41,0,0,eGFP3,WHEEL
45,05:51 PM,04-20-2026,04-20-2026 17:51:42,0,0,eGFP3,WHEEL
46,05:51 PM,04-20-2026,04-20-2026 17:51:43,0,0,eGFP3,WHEEL
47,05:51 PM,04-20-2026,04-20-2026 17:51:44,0,0,eGFP3,WHEEL
