events,time,date,date-time,reset,rtc_reset,device_id,stream
1,05:56 PM,04-23-2026,04-23-2026 17:56:58,1,0,eGFP3,WHEEL
2,05:56 PM,04-23-2026,04-23-2026 17:56:58,0,0,eGFP3,WHEEL
3,05:56 PM,04-23-2026,04-23-2026 17:56:59,0,0,eGFP3,WHEEL
4,05:56 PM,04-23-2026,04-23-2026 17:56:59,0,0,eGFP3,WHEEL
5,05:57 PM,04-23-2026,04-23-2026 17:57:02,0,0,eGFP3,WHEEL
