wheel_event,time,Tx,Ti_observed,reset,rtc_reset,device_id
1,00:00:16,0.055,628.418,0,0,eGFP5
2,00:00:17,0.178,1.034,0,0,eGFP5
3,00:00:18,0.122,1.142,0,0,eGFP5
4,00:00:20,0.121,1.789,0,0,eGFP5
5,00:00:21,0.055,0.856,0,0,eGFP5
6,00:00:22,0.109,1.042,0,0,eGFP5
7,00:00:23,0.055,0.647,0,0,eGFP5
8,00:00:26,0.067,2.931,0,0,eGFP5
9,00:00:26,0.076,0.669,0,0,eGFP5
10,00:00:27,0.044,0.724,0,0,eGFP5
11,00:00:29,0.166,2.262,0,0,eGFP5
12,00:00:30,0.065,0.680,0,0,eGFP5
13,00:00:31,0.066,1.064,0,0,eGFP5
14,00:00:32,0.154,0.691,0,0,eGFP5
15,00:00:34,0.309,2.701,0,0,eGFP5
16,00:00:37,0.220,2.557,0,0,eGFP5
17,00:00:37,0.044,0.581,0,0,eGFP5
18,00:00:39,0.056,1.120,0,0,eGFP5
19,00:00:39,0.057,0.660,0,0,eGFP5
20,00:00:40,0.044,0.670,0,0,eGFP5
21,05:09:48,0.132,18548.722,0,0,eGFP5
22,05:09:51,0.286,3.304,0,0,eGFP5
23,05:10:32,0.187,40.938,0,0,eGFP5
24,05:10:34,0.110,1.174,0,0,eGFP5
25,05:10:35,0.099,1.855,0,0,eGFP5
26,05:10:37,0.505,1.964,0,0,eGFP5
27,05:10:41,0.101,3.623,0,0,eGFP5
28,05:10:42,0.088,1.394,0,0,eGFP5
29,05:10:45,0.441,2.185,0,0,eGFP5
30,12:04:18,0.977,24814.677,0,0,eGFP5
31,12:06:42,0.582,143.815,0,0,eGFP5
32,12:06:45,2.030,2.315,0,0,eGFP5
33,12:07:39,15.208,54.127,0,0,eGFP5
34,12:08:45,0.297,66.548,0,0,eGFP5
35,12:08:47,0.210,1.516,0,0,eGFP5
36,12:08:48,0.099,1.054,0,0,eGFP5
37,12:08:49,0.088,0.999,0,0,eGFP5
38,12:11:27,0.099,158.540,0,0,eGFP5
39,12:11:29,0.264,1.887,0,0,eGFP5
40,12:11:30,0.100,0.901,0,0,eGFP5
41,12:11:31,0.077,0.889,0,0,eGFP5
42,12:11:32,0.067,0.758,0,0,eGFP5
43,12:11:33,0.068,0.913,0,0,eGFP5
44,12:11:33,0.067,0.824,0,0,eGFP5
45,12:11:34,0.067,0.780,0,0,eGFP5
46,12:11:35,0.067,0.835,0,0,eGFP5
47,12:15:48,0.077,253.385,0,0,eGFP5
48,12:15:50,0.187,1.690,0,0,eGFP5
49,12:15:51,0.111,1.011,0,0,eGFP5
50,12:15:52,0.077,0.801,0,0,eGFP5
51,12:15:53,0.067,0.791,0,0,eGFP5
52,12:16:37,0.068,44.352,0,0,eGFP5
53,12:16:52,0.165,15.131,0,0,eGFP5
54,12:16:59,0.736,6.837,0,0,eGFP5
55,12:17:00,0.132,1.130,0,0,eGFP5
56,12:17:01,0.066,0.670,0,0,eGFP5
57,12:17:02,0.044,0.637,0,0,eGFP5
58,12:17:17,0.078,15.099,0,0,eGFP5
59,12:17:18,0.187,0.922,0,0,eGFP5
60,12:17:19,0.233,1.385,0,0,eGFP5
61,12:17:20,0.067,0.659,0,0,eGFP5
62,12:17:20,0.045,0.605,0,0,eGFP5
63,12:17:21,0.066,0.670,0,0,eGFP5
64,12:17:22,0.055,0.725,0,0,eGFP5
65,12:17:22,0.066,0.780,0,0,eGFP5
66,12:17:23,0.066,0.659,0,0,eGFP5
67,12:17:24,0.056,0.593,0,0,eGFP5
68,12:17:24,0.057,0.650,0,0,eGFP5
69,12:17:25,0.067,0.659,0,0,eGFP5
70,12:17:26,0.056,0.670,0,0,eGFP5
71,12:17:27,0.067,1.757,0,0,eGFP5
72,12:17:29,0.143,1.219,0,0,eGFP5
73,12:17:30,0.112,1.198,0,0,eGFP5
74,12:17:31,0.111,1.021,0,0,eGFP5
75,12:17:43,0.078,12.181,0,0,eGFP5
76,12:17:51,5.565,7.880,0,0,eGFP5
77,12:20:34,0.308,163.357,0,0,eGFP5
78,12:20:35,0.122,1.065,0,0,eGFP5
79,12:20:36,0.078,0.736,0,0,eGFP5
80,12:20:37,0.056,0.572,0,0,eGFP5
81,12:20:37,0.045,0.561,0,0,eGFP5
82,12:20:38,0.056,0.582,0,0,eGFP5
83,12:20:38,0.045,0.539,0,0,eGFP5
84,12:20:39,0.057,0.869,0,0,eGFP5
85,12:20:40,0.100,0.857,0,0,eGFP5
86,12:20:41,0.056,0.736,0,0,eGFP5
87,12:20:42,0.069,0.815,0,0,eGFP5
88,12:20:42,0.067,0.670,0,0,eGFP5
89,12:20:43,0.056,0.583,0,0,eGFP5
90,12:20:44,0.056,0.846,0,0,eGFP5
91,12:20:44,0.078,0.692,0,0,eGFP5
92,12:20:45,0.058,0.573,0,0,eGFP5
93,12:20:46,0.046,0.616,0,0,eGFP5
94,12:20:46,0.056,0.638,0,0,eGFP5
95,12:20:47,0.056,0.911,0,0,eGFP5
96,12:20:48,0.100,1.066,0,0,eGFP5
97,12:20:49,0.089,0.835,0,0,eGFP5
98,12:20:50,0.056,0.638,0,0,eGFP5
99,12:20:50,0.045,0.539,0,0,eGFP5
100,12:21:32,0.057,41.763,0,0,eGFP5
101,12:21:37,0.155,5.520,0,0,eGFP5
102,12:21:50,0.354,12.149,0,0,eGFP5
103,12:21:50,0.089,0.759,0,0,eGFP5
104,12:21:51,0.056,0.561,0,0,eGFP5
105,12:21:51,0.045,0.560,0,0,eGFP5
106,12:21:52,0.056,0.572,0,0,eGFP5
107,12:21:53,0.045,0.528,0,0,eGFP5
108,12:21:53,0.045,0.528,0,0,eGFP5
109,12:21:54,0.058,0.562,0,0,eGFP5
110,12:21:54,0.046,0.583,0,0,eGFP5
111,12:21:55,0.045,0.550,0,0,eGFP5
112,12:21:55,0.056,0.605,0,0,eGFP5
113,12:21:56,0.067,0.737,0,0,eGFP5
114,12:21:57,0.056,0.604,0,0,eGFP5
115,12:21:57,0.046,0.539,0,0,eGFP5
116,12:21:58,0.046,0.628,0,0,eGFP5
117,12:21:59,0.060,0.652,0,0,eGFP5
118,12:21:59,0.056,0.560,0,0,eGFP5
119,12:22:00,0.045,0.538,0,0,eGFP5
120,12:22:00,0.056,0.604,0,0,eGFP5
121,12:22:01,0.056,0.582,0,0,eGFP5
122,12:22:01,0.045,0.571,0,0,eGFP5
123,12:23:14,0.067,72.978,0,0,eGFP5
124,12:23:17,0.121,2.568,0,0,eGFP5
125,12:23:18,0.090,0.803,0,0,eGFP5
126,12:23:18,0.056,0.626,0,0,eGFP5
127,12:23:19,0.078,0.769,0,0,eGFP5
128,12:23:20,0.056,0.561,0,0,eGFP5
129,12:23:20,0.045,0.473,0,0,eGFP5
130,12:23:21,0.036,0.771,0,0,eGFP5
131,12:23:22,0.156,1.165,0,0,eGFP5
132,12:23:23,0.056,0.572,0,0,eGFP5
133,12:23:23,0.047,0.486,0,0,eGFP5
134,12:23:24,0.045,0.572,0,0,eGFP5
135,12:23:24,0.056,0.616,0,0,eGFP5
136,12:23:25,0.046,0.539,0,0,eGFP5
137,12:23:25,0.046,0.594,0,0,eGFP5
138,12:23:26,0.057,0.584,0,0,eGFP5
139,12:23:27,0.045,0.539,0,0,eGFP5
140,12:23:28,0.067,1.077,0,0,eGFP5
141,12:23:29,0.102,0.925,0,0,eGFP5
142,12:23:29,0.056,0.616,0,0,eGFP5
143,12:23:30,0.045,0.550,0,0,eGFP5
144,12:23:32,0.058,2.252,0,0,eGFP5
145,12:23:33,0.145,1.121,0,0,eGFP5
146,12:23:34,0.068,0.627,0,0,eGFP5
147,12:23:34,0.035,0.485,0,0,eGFP5
148,12:23:35,0.045,0.473,0,0,eGFP5
149,12:23:35,0.047,0.464,0,0,eGFP5
150,12:23:36,0.035,0.507,0,0,eGFP5
151,12:23:36,0.045,0.616,0,0,eGFP5
152,12:23:53,0.046,16.778,0,0,eGFP5
153,12:23:57,0.200,3.766,0,0,eGFP5
154,12:24:04,0.111,6.717,0,0,eGFP5
155,12:24:06,0.232,2.174,0,0,eGFP5
156,12:24:06,0.090,0.726,0,0,eGFP5
157,12:24:07,0.047,0.541,0,0,eGFP5
158,12:24:08,0.047,0.508,0,0,eGFP5
159,12:24:08,0.045,0.484,0,0,eGFP5
160,12:24:08,0.035,0.485,0,0,eGFP5
161,12:24:09,0.046,0.495,0,0,eGFP5
162,12:24:09,0.046,0.507,0,0,eGFP5
163,12:24:10,0.046,0.594,0,0,eGFP5
164,12:24:11,0.046,0.518,0,0,eGFP5
