wheel_event,time,Tx,Ti_observed,reset,rtc_reset,device_id
1,00:18:33,1.139,2588.711,0,0,eGFP5
2,00:24:15,46.304,342.776,0,0,eGFP5
3,05:44:23,19172.739,19208.443,0,0,eGFP5
4,05:49:15,0.481,292.157,0,0,eGFP5
5,12:44:43,502.746,24928.663,0,0,eGFP5
6,12:44:58,3.171,15.383,0,0,eGFP5
7,12:45:21,3.235,22.448,0,0,eGFP5
8,12:45:32,0.788,11.157,0,0,eGFP5
9,12:52:45,1.699,433.075,0,0,eGFP5
10,12:52:59,0.251,13.341,0,0,eGFP5
11,12:53:07,0.206,8.820,0,0,eGFP5
12,12:53:36,0.283,28.603,0,0,eGFP5
13,13:22:13,3.937,1716.923,0,0,eGFP5
14,13:22:44,8.098,31.600,0,0,eGFP5
15,13:22:46,0.658,1.459,0,0,eGFP5
16,15:09:03,2.029,6376.911,0,0,eGFP5
17,15:14:23,3.883,320.126,0,0,eGFP5
18,15:23:15,1.085,532.572,0,0,eGFP5
19,15:26:01,1.370,165.537,0,0,eGFP5
20,15:30:44,0.295,283.248,0,0,eGFP5
21,16:40:15,1611.050,4170.624,0,0,eGFP5
22,16:50:28,0.415,613.859,0,0,eGFP5
23,16:50:39,1.073,10.290,0,0,eGFP5
24,16:52:59,4.057,140.773,0,0,eGFP5
25,16:54:01,0.328,61.641,0,0,eGFP5
26,17:06:35,690.240,754.318,0,0,eGFP5
27,17:10:20,0.843,224.636,0,0,eGFP5
28,18:43:08,4876.373,5568.609,0,0,eGFP5
29,18:48:50,23.248,341.841,0,0,eGFP5
30,19:01:06,338.656,735.615,0,0,eGFP5
31,19:06:15,303.095,309.547,0,0,eGFP5
32,19:06:44,27.485,28.901,0,0,eGFP5
33,19:06:50,0.185,6.055,0,0,eGFP5
34,19:07:10,0.141,19.880,0,0,eGFP5
35,19:07:52,12.595,41.628,0,0,eGFP5
36,21:29:16,6.988,8484.558,0,0,eGFP5
37,21:30:37,40.411,80.603,0,0,eGFP5
38,21:30:53,8.052,15.876,0,0,eGFP5
39,22:01:48,0.470,1855.186,0,0,eGFP5
40,22:03:14,58.482,86.297,0,0,eGFP5
41,22:04:58,102.107,104.324,0,0,eGFP5
42,22:05:07,1.446,8.447,0,0,eGFP5
43,22:11:03,0.174,355.844,0,0,eGFP5
44,22:12:49,6.505,106.342,0,0,eGFP5
45,22:12:50,0.899,1.349,0,0,eGFP5
46,22:13:30,17.005,39.751,0,0,eGFP5
47,22:18:48,155.398,317.921,0,0,eGFP5
48,22:19:11,0.613,22.722,0,0,eGFP5
49,22:20:03,23.053,52.766,0,0,eGFP5
50,22:20:36,22.843,32.784,0,0,eGFP5
51,22:21:12,15.102,36.070,0,0,eGFP5
52,22:36:07,807.258,895.212,0,0,eGFP5
53,22:44:58,54.421,530.568,0,0,eGFP5
54,22:45:36,0.151,38.028,0,0,eGFP5
55,22:50:56,0.702,319.702,0,0,eGFP5
56,22:51:02,0.744,6.592,0,0,eGFP5
57,22:54:33,0.340,211.152,0,0,eGFP5
58,22:55:30,1.095,56.199,0,0,eGFP5
59,22:55:37,0.645,7.207,0,0,eGFP5
60,23:12:02,0.217,985.579,0,0,eGFP5
61,23:12:34,1.688,31.478,0,0,eGFP5
62,23:18:55,4.168,380.959,0,0,eGFP5
63,23:40:13,0.217,1278.376,0,0,eGFP5
64,23:40:53,0.492,39.970,0,0,eGFP5
65,23:43:00,51.337,126.388,0,0,eGFP5
66,23:43:19,0.285,19.882,0,0,eGFP5
67,23:43:38,7.426,18.497,0,0,eGFP5
