,eGFP6,calendar_date,time_decimal
2026-04-17 01:38:00,,2026-04-17,1.6333333333333333
2026-04-17 01:39:00,,2026-04-17,1.65
2026-04-17 01:40:00,,2026-04-17,1.6666666666666665
2026-04-17 01:41:00,,2026-04-17,1.6833333333333333
2026-04-17 01:42:00,,2026-04-17,1.7
2026-04-17 01:43:00,,2026-04-17,1.7166666666666668
2026-04-17 01:44:00,,2026-04-17,1.7333333333333334
2026-04-17 01:45:00,,2026-04-17,1.75
2026-04-17 01:46:00,,2026-04-17,1.7666666666666666
2026-04-17 01:47:00,,2026-04-17,1.7833333333333332
2026-04-17 01:48:00,,2026-04-17,1.8
2026-04-17 01:49:00,,2026-04-17,1.8166666666666667
2026-04-17 01:50:00,,2026-04-17,1.8333333333333335
2026-04-17 01:51:00,,2026-04-17,1.85
2026-04-17 01:52:00,,2026-04-17,1.8666666666666667
2026-04-17 01:53:00,,2026-04-17,1.8833333333333333
2026-04-17 01:54:00,,2026-04-17,1.9
2026-04-17 01:55:00,,2026-04-17,1.9166666666666665
2026-04-17 01:56:00,,2026-04-17,1.9333333333333333
2026-04-17 01:57:00,,2026-04-17,1.95
2026-04-17 01:58:00,,2026-04-17,1.9666666666666668
2026-04-17 01:59:00,,2026-04-17,1.9833333333333334
2026-04-17 02:00:00,,2026-04-17,2.0
2026-04-17 02:01:00,,2026-04-17,2.0166666666666666
2026-04-17 02:02:00,,2026-04-17,2.033333333333333
2026-04-17 02:03:00,,2026-04-17,2.05
2026-04-17 02:04:00,,2026-04-17,2.066666666666667
2026-04-17 02:05:00,,2026-04-17,2.0833333333333335
2026-04-17 02:06:00,,2026-04-17,2.1
2026-04-17 02:07:00,,2026-04-17,2.1166666666666667
2026-04-17 02:08:00,,2026-04-17,2.1333333333333333
2026-04-17 02:09:00,,2026-04-17,2.15
2026-04-17 02:10:00,,2026-04-17,2.1666666666666665
2026-04-17 02:11:00,,2026-04-17,2.183333333333333
2026-04-17 02:12:00,,2026-04-17,2.2
2026-04-17 02:13:00,,2026-04-17,2.216666666666667
2026-04-17 02:14:00,,2026-04-17,2.2333333333333334
2026-04-17 02:15:00,,2026-04-17,2.25
2026-04-17 02:16:00,,2026-04-17,2.2666666666666666
2026-04-17 02:17:00,,2026-04-17,2.283333333333333
2026-04-17 02:18:00,,2026-04-17,2.3
2026-04-17 02:19:00,,2026-04-17,2.3166666666666664
2026-04-17 02:20:00,,2026-04-17,2.3333333333333335
2026-04-17 02:21:00,,2026-04-17,2.35
2026-04-17 02:22:00,,2026-04-17,2.3666666666666667
2026-04-17 02:23:00,,2026-04-17,2.3833333333333333
2026-04-17 02:24:00,,2026-04-17,2.4
2026-04-17 02:25:00,,2026-04-17,2.4166666666666665
2026-04-17 02:26:00,,2026-04-17,2.4333333333333336
2026-04-17 02:27:00,,2026-04-17,2.45
2026-04-17 02:28:00,,2026-04-17,2.466666666666667
2026-04-17 02:29:00,,2026-04-17,2.4833333333333334
2026-04-17 02:30:00,,2026-04-17,2.5
2026-04-17 02:31:00,,2026-04-17,2.5166666666666666
2026-04-17 02:32:00,,2026-04-17,2.533333333333333
2026-04-17 02:33:00,,2026-04-17,2.55
2026-04-17 02:34:00,,2026-04-17,2.5666666666666664
2026-04-17 02:35:00,,2026-04-17,2.5833333333333335
2026-04-17 02:36:00,,2026-04-17,2.6
2026-04-17 02:37:00,,2026-04-17,2.6166666666666667
2026-04-17 02:38:00,,2026-04-17,2.6333333333333333
2026-04-17 02:39:00,,2026-04-17,2.65
2026-04-17 02:40:00,,2026-04-17,2.6666666666666665
2026-04-17 02:41:00,,2026-04-17,2.6833333333333336
2026-04-17 02:42:00,,2026-04-17,2.7
2026-04-17 02:43:00,,2026-04-17,2.716666666666667
2026-04-17 02:44:00,,2026-04-17,2.7333333333333334
2026-04-17 02:45:00,,2026-04-17,2.75
2026-04-17 02:46:00,,2026-04-17,2.7666666666666666
2026-04-17 02:47:00,,2026-04-17,2.783333333333333
2026-04-17 02:48:00,,2026-04-17,2.8
2026-04-17 02:49:00,,2026-04-17,2.8166666666666664
2026-04-17 02:50:00,,2026-04-17,2.8333333333333335
2026-04-17 02:51:00,,2026-04-17,2.85
2026-04-17 02:52:00,,2026-04-17,2.8666666666666667
2026-04-17 02:53:00,,2026-04-17,2.8833333333333333
2026-04-17 02:54:00,,2026-04-17,2.9
2026-04-17 02:55:00,,2026-04-17,2.9166666666666665
2026-04-17 02:56:00,,2026-04-17,2.9333333333333336
2026-04-17 02:57:00,,2026-04-17,2.95
2026-04-17 02:58:00,,2026-04-17,2.966666666666667
2026-04-17 02:59:00,,2026-04-17,2.9833333333333334
2026-04-17 03:00:00,,2026-04-17,3.0
2026-04-17 03:01:00,,2026-04-17,3.0166666666666666
2026-04-17 03:02:00,,2026-04-17,3.033333333333333
2026-04-17 03:03:00,,2026-04-17,3.05
2026-04-17 03:04:00,,2026-04-17,3.066666666666667
2026-04-17 03:05:00,,2026-04-17,3.0833333333333335
2026-04-17 03:06:00,,2026-04-17,3.1
2026-04-17 03:07:00,,2026-04-17,3.1166666666666667
2026-04-17 03:08:00,,2026-04-17,3.1333333333333333
2026-04-17 03:09:00,,2026-04-17,3.15
2026-04-17 03:10:00,,2026-04-17,3.1666666666666665
2026-04-17 03:11:00,,2026-04-17,3.183333333333333
2026-04-17 03:12:00,,2026-04-17,3.2
2026-04-17 03:13:00,,2026-04-17,3.216666666666667
2026-04-17 03:14:00,,2026-04-17,3.2333333333333334
2026-04-17 03:15:00,,2026-04-17,3.25
2026-04-17 03:16:00,,2026-04-17,3.2666666666666666
2026-04-17 03:17:00,,2026-04-17,3.283333333333333
2026-04-17 03:18:00,,2026-04-17,3.3
2026-04-17 03:19:00,,2026-04-17,3.3166666666666664
2026-04-17 03:20:00,,2026-04-17,3.3333333333333335
2026-04-17 03:21:00,,2026-04-17,3.35
