wheel_event,time,Tx,Ti_observed,reset,rtc_reset,device_id
0,14:16:33,0.000,0.000,1,0,eGFP4
1,14:16:33,0.028,0.182,0,0,eGFP4
2,14:16:33,0.039,0.094,0,0,eGFP4
3,14:16:34,0.072,0.237,0,0,eGFP4
4,14:16:34,0.028,0.050,0,0,eGFP4
5,14:16:34,0.116,0.149,0,0,eGFP4
6,14:16:34,0.028,0.072,0,0,eGFP4
7,14:16:34,0.116,0.127,0,0,eGFP4
8,14:16:34,0.150,0.161,0,0,eGFP4
9,14:16:34,0.028,0.072,0,0,eGFP4
10,14:16:34,0.116,0.127,0,0,eGFP4
11,14:16:35,0.105,0.457,0,0,eGFP4
12,14:16:35,0.039,0.072,0,0,eGFP4
13,14:16:35,0.028,0.182,0,0,eGFP4
14,14:16:35,0.030,0.085,0,0,eGFP4
15,14:16:35,0.028,0.061,0,0,eGFP4
16,14:16:35,0.039,0.050,0,0,eGFP4
17,14:16:36,0.030,0.283,0,0,eGFP4
18,14:16:36,0.039,0.072,0,0,eGFP4
19,14:16:36,0.095,0.117,0,0,eGFP4
20,14:16:36,0.105,0.182,0,0,eGFP4
21,14:16:37,0.687,0.709,0,0,eGFP4
22,14:16:37,0.028,0.105,0,0,eGFP4
23,14:16:37,0.182,0.248,0,0,eGFP4
24,14:16:37,0.039,0.050,0,0,eGFP4
25,14:16:37,0.031,0.074,0,0,eGFP4
26,14:16:37,0.062,0.073,0,0,eGFP4
27,14:16:37,0.040,0.083,0,0,eGFP4
28,14:16:38,0.195,0.217,0,0,eGFP4
29,14:16:38,0.095,0.106,0,0,eGFP4
30,14:16:38,0.039,0.281,0,0,eGFP4
31,14:16:38,0.028,0.105,0,0,eGFP4
32,14:16:38,0.029,0.391,0,0,eGFP4
33,14:16:39,0.457,0.830,0,0,eGFP4
34,14:16:40,0.052,0.436,0,0,eGFP4
35,14:16:40,0.062,0.501,0,0,eGFP4
36,14:16:41,0.061,0.588,0,0,eGFP4
37,14:17:06,0.073,25.642,0,0,eGFP4
38,14:17:08,0.281,1.444,0,0,eGFP4
39,14:17:09,0.084,0.699,0,0,eGFP4
40,14:17:28,18.201,19.254,0,0,eGFP4
41,14:17:28,0.106,0.633,0,0,eGFP4
42,14:17:29,0.075,0.536,0,0,eGFP4
43,14:17:30,0.074,0.645,0,0,eGFP4
44,14:17:30,0.084,0.698,0,0,eGFP4
45,14:17:31,0.106,0.753,0,0,eGFP4
46,14:17:32,0.084,0.687,0,0,eGFP4
47,14:17:32,0.084,0.655,0,0,eGFP4
48,14:17:34,0.084,1.543,0,0,eGFP4
49,14:17:35,0.150,0.786,0,0,eGFP4
50,14:17:35,0.062,0.479,0,0,eGFP4
51,14:17:36,0.063,0.491,0,0,eGFP4
52,14:17:36,0.062,0.501,0,0,eGFP4
53,14:17:37,0.062,0.479,0,0,eGFP4
54,14:17:37,0.062,0.501,0,0,eGFP4
55,14:17:38,0.073,0.545,0,0,eGFP4
56,14:17:38,0.072,0.643,0,0,eGFP4
57,14:17:39,0.084,0.632,0,0,eGFP4
58,14:17:40,0.075,0.591,0,0,eGFP4
59,14:17:40,0.080,0.651,0,0,eGFP4
60,14:17:41,0.072,0.566,0,0,eGFP4
61,14:17:41,0.072,0.609,0,0,eGFP4
62,14:17:42,0.084,0.621,0,0,eGFP4
63,14:17:43,0.072,0.632,0,0,eGFP4
64,14:17:43,0.072,0.599,0,0,eGFP4
65,14:17:44,0.072,0.577,0,0,eGFP4
66,14:17:44,0.072,0.533,0,0,eGFP4
67,14:17:45,0.072,0.511,0,0,eGFP4
68,14:17:45,0.063,0.502,0,0,eGFP4
69,14:17:46,0.072,0.478,0,0,eGFP4
70,14:17:46,0.061,0.467,0,0,eGFP4
71,14:17:47,0.051,0.446,0,0,eGFP4
72,14:17:47,0.052,0.480,0,0,eGFP4
73,14:17:48,0.072,0.500,0,0,eGFP4
74,14:17:48,0.072,0.522,0,0,eGFP4
75,14:17:49,0.061,0.533,0,0,eGFP4
76,14:17:50,0.074,0.667,0,0,eGFP4
77,14:17:50,0.083,0.621,0,0,eGFP4
78,14:17:52,0.697,1.564,0,0,eGFP4
79,14:17:52,0.073,0.544,0,0,eGFP4
80,14:17:53,0.073,0.523,0,0,eGFP4
81,14:17:53,0.061,0.445,0,0,eGFP4
82,14:17:54,0.062,0.424,0,0,eGFP4
83,14:17:54,0.061,0.445,0,0,eGFP4
84,14:17:55,0.062,0.424,0,0,eGFP4
85,14:17:55,0.052,0.425,0,0,eGFP4
86,14:17:55,0.061,0.500,0,0,eGFP4
87,14:17:56,0.063,0.546,0,0,eGFP4
88,14:17:57,0.073,0.599,0,0,eGFP4
89,14:17:57,0.073,0.588,0,0,eGFP4
90,14:17:58,0.062,0.545,0,0,eGFP4
91,14:17:59,0.072,0.775,0,0,eGFP4
92,14:17:59,0.083,0.588,0,0,eGFP4
93,14:18:00,0.061,0.478,0,0,eGFP4
94,14:18:00,0.060,0.477,0,0,eGFP4
95,14:18:01,0.062,0.501,0,0,eGFP4
96,14:18:01,0.072,0.643,0,0,eGFP4
97,14:18:02,0.083,0.687,0,0,eGFP4
98,14:18:03,0.084,0.632,0,0,eGFP4
99,14:18:03,0.084,0.654,0,0,eGFP4
100,14:18:04,0.084,0.600,0,0,eGFP4
101,14:18:04,0.085,0.612,0,0,eGFP4
102,14:18:05,0.074,0.568,0,0,eGFP4
103,14:18:06,0.072,0.566,0,0,eGFP4
104,14:18:06,0.073,0.545,0,0,eGFP4
105,14:18:07,0.072,0.632,0,0,eGFP4
106,14:18:07,0.083,0.621,0,0,eGFP4
107,14:18:08,0.073,0.523,0,0,eGFP4
108,14:18:08,0.073,0.522,0,0,eGFP4
109,14:18:09,0.073,0.556,0,0,eGFP4
110,14:18:09,0.075,0.579,0,0,eGFP4
111,14:18:10,0.073,0.633,0,0,eGFP4
112,14:18:11,0.073,0.501,0,0,eGFP4
113,14:18:11,0.050,0.434,0,0,eGFP4
114,14:18:12,0.051,0.490,0,0,eGFP4
115,14:18:12,0.095,0.896,0,0,eGFP4
116,14:18:13,0.075,0.492,0,0,eGFP4
117,14:18:13,0.062,0.522,0,0,eGFP4
118,14:18:14,0.073,0.501,0,0,eGFP4
119,14:18:14,0.053,0.426,0,0,eGFP4
120,14:18:15,0.062,0.457,0,0,eGFP4
121,14:18:15,0.073,0.632,0,0,eGFP4
122,14:18:35,1.269,19.651,0,0,eGFP4
123,14:18:36,0.066,0.451,0,0,eGFP4
124,14:18:36,0.050,0.434,0,0,eGFP4
125,14:18:36,0.061,0.467,0,0,eGFP4
126,14:18:37,0.072,0.522,0,0,eGFP4
127,14:18:38,0.074,0.579,0,0,eGFP4
