wheel_event,time,Tx,Ti_observed,reset,rtc_reset,device_id
1,00:00:00,0.101,2.043,0,0,eGFP4
2,00:00:01,0.166,0.912,0,0,eGFP4
3,00:00:02,0.101,0.803,0,0,eGFP4
4,00:00:02,0.124,0.837,0,0,eGFP4
5,00:00:03,0.090,0.693,0,0,eGFP4
6,00:00:04,0.123,0.891,0,0,eGFP4
7,00:00:05,0.090,0.660,0,0,eGFP4
8,00:00:06,0.112,0.902,0,0,eGFP4
9,00:00:07,0.166,1.253,0,0,eGFP4
10,00:00:07,0.111,0.627,0,0,eGFP4
11,00:00:08,0.068,0.551,0,0,eGFP4
12,00:00:09,0.069,0.530,0,0,eGFP4
13,00:00:09,0.068,0.628,0,0,eGFP4
14,00:00:35,0.122,25.768,0,0,eGFP4
15,00:00:36,0.090,0.606,0,0,eGFP4
16,00:00:36,0.068,0.485,0,0,eGFP4
17,00:00:37,0.068,0.759,0,0,eGFP4
18,00:00:37,0.079,0.529,0,0,eGFP4
19,00:00:38,0.079,1.055,0,0,eGFP4
20,00:00:39,0.156,0.814,0,0,eGFP4
21,00:00:40,0.059,0.608,0,0,eGFP4
22,00:01:00,5.094,20.140,0,0,eGFP4
23,00:01:03,0.167,3.383,0,0,eGFP4
24,00:01:05,0.134,1.352,0,0,eGFP4
25,00:01:06,0.178,1.298,0,0,eGFP4
26,00:01:07,0.156,1.056,0,0,eGFP4
27,00:01:13,0.102,5.885,0,0,eGFP4
28,00:01:14,0.112,0.771,0,0,eGFP4
29,00:01:17,0.093,3.396,0,0,eGFP4
30,00:01:18,0.146,0.771,0,0,eGFP4
31,00:01:19,0.091,0.662,0,0,eGFP4
32,00:01:20,0.068,1.835,0,0,eGFP4
33,00:01:21,0.167,0.837,0,0,eGFP4
34,00:01:22,0.068,0.540,0,0,eGFP4
35,00:01:22,0.080,0.585,0,0,eGFP4
36,00:01:23,0.076,0.723,0,0,eGFP4
37,00:01:26,0.154,3.402,0,0,eGFP4
38,00:01:27,0.097,0.624,0,0,eGFP4
39,00:01:28,0.075,0.503,0,0,eGFP4
40,00:01:28,0.053,0.591,0,0,eGFP4
41,00:01:30,0.097,1.984,0,0,eGFP4
42,00:01:31,0.130,0.855,0,0,eGFP4
43,00:01:59,0.086,28.135,0,0,eGFP4
44,00:02:03,2.853,4.027,0,0,eGFP4
45,00:02:04,0.231,1.108,0,0,eGFP4
46,00:02:06,0.152,2.128,0,0,eGFP4
47,00:02:07,0.086,0.668,0,0,eGFP4
48,00:02:08,0.086,0.667,0,0,eGFP4
49,00:02:08,0.087,0.580,0,0,eGFP4
50,00:02:09,0.065,0.482,0,0,eGFP4
51,00:02:09,0.053,0.525,0,0,eGFP4
52,00:02:10,0.064,0.569,0,0,eGFP4
53,00:02:11,0.088,0.636,0,0,eGFP4
54,00:02:12,0.086,1.217,0,0,eGFP4
55,00:02:12,0.097,0.602,0,0,eGFP4
56,00:02:13,0.075,0.744,0,0,eGFP4
57,00:02:14,0.098,0.679,0,0,eGFP4
58,00:02:14,0.087,0.668,0,0,eGFP4
59,00:02:16,0.107,1.117,0,0,eGFP4
60,00:02:16,0.075,0.547,0,0,eGFP4
61,00:02:17,0.066,0.516,0,0,eGFP4
62,00:02:17,0.075,0.492,0,0,eGFP4
63,00:02:18,0.064,0.569,0,0,eGFP4
64,00:02:18,0.086,0.646,0,0,eGFP4
65,00:02:19,0.086,0.646,0,0,eGFP4
66,00:02:20,0.064,0.602,0,0,eGFP4
67,00:02:20,0.075,0.613,0,0,eGFP4
68,00:02:21,0.108,0.811,0,0,eGFP4
69,00:02:22,0.120,1.317,0,0,eGFP4
70,00:02:23,0.141,0.799,0,0,eGFP4
71,00:02:24,0.076,0.537,0,0,eGFP4
72,00:02:24,0.053,0.437,0,0,eGFP4
73,00:02:25,0.055,0.516,0,0,eGFP4
74,00:02:31,0.075,6.034,0,0,eGFP4
75,00:02:31,0.130,0.690,0,0,eGFP4
76,00:02:57,0.075,25.294,0,0,eGFP4
77,00:05:17,0.119,140.411,0,0,eGFP4
78,00:05:18,0.557,0.711,0,0,eGFP4
79,00:05:20,0.327,1.886,0,0,eGFP4
80,00:05:22,0.338,1.985,0,0,eGFP4
81,00:05:23,0.152,1.622,0,0,eGFP4
82,00:05:24,0.174,1.074,0,0,eGFP4
83,00:05:29,2.688,4.399,0,0,eGFP4
84,00:05:30,0.109,0.844,0,0,eGFP4
85,00:05:33,0.141,3.104,0,0,eGFP4
86,00:05:33,0.088,0.780,0,0,eGFP4
87,00:05:34,0.141,0.986,0,0,eGFP4
88,00:05:35,0.099,0.823,0,0,eGFP4
89,00:05:38,0.119,2.424,0,0,eGFP4
90,00:05:38,0.087,0.635,0,0,eGFP4
91,00:05:39,0.098,0.855,0,0,eGFP4
92,00:05:40,0.141,1.085,0,0,eGFP4
93,00:05:41,0.109,0.767,0,0,eGFP4
94,00:05:42,0.100,0.748,0,0,eGFP4
95,00:05:42,0.064,0.481,0,0,eGFP4
96,00:05:43,0.054,0.471,0,0,eGFP4
97,00:05:47,0.087,4.070,0,0,eGFP4
98,00:05:47,0.065,0.515,0,0,eGFP4
99,00:05:50,0.075,3.016,0,0,eGFP4
100,00:07:48,0.076,117.750,0,0,eGFP4
101,00:15:33,0.230,464.574,0,0,eGFP4
102,00:15:37,0.385,4.522,0,0,eGFP4
103,00:15:40,0.350,3.083,0,0,eGFP4
104,00:15:42,0.394,1.645,0,0,eGFP4
105,00:15:43,0.174,1.327,0,0,eGFP4
106,00:15:44,0.229,1.162,0,0,eGFP4
107,00:15:48,0.141,3.565,0,0,eGFP4
108,00:15:50,0.142,1.942,0,0,eGFP4
109,00:15:51,0.174,1.019,0,0,eGFP4
110,00:15:52,0.110,1.043,0,0,eGFP4
111,00:15:53,0.141,1.052,0,0,eGFP4
112,00:15:57,0.153,4.224,0,0,eGFP4
113,00:16:01,0.416,3.544,0,0,eGFP4
114,00:16:02,0.119,1.030,0,0,eGFP4
115,00:16:03,0.164,0.888,0,0,eGFP4
116,00:16:04,0.110,0.900,0,0,eGFP4
117,00:16:06,0.767,2.940,0,0,eGFP4
118,00:16:09,0.165,2.546,0,0,eGFP4
119,04:44:03,0.174,16074.061,0,0,eGFP4
120,04:52:03,0.295,480.804,0,0,eGFP4
121,04:52:05,0.218,1.831,0,0,eGFP4
122,04:52:08,0.175,3.193,0,0,eGFP4
123,12:20:10,0.218,26882.774,0,0,eGFP4
124,12:20:38,22.912,27.905,0,0,eGFP4
125,12:20:39,0.065,0.372,0,0,eGFP4
126,12:20:39,0.044,0.362,0,0,eGFP4
127,12:20:39,0.032,0.054,0,0,eGFP4
128,12:20:39,0.095,0.106,0,0,eGFP4
