events,time,date,date-time,reset,rtc_reset,device_id,stream
1,02:03 PM,04-27-2026,04-27-2026 14:03:51,1,0,eGFP1,WHEEL
2,02:03 PM,04-27-2026,04-27-2026 14:03:51,0,0,eGFP1,WHEEL
3,02:03 PM,04-27-2026,04-27-2026 14:03:51,0,0,eGFP1,WHEEL
4,02:03 PM,04-27-2026,04-27-2026 14:03:52,0,0,eGFP1,WHEEL
5,02:03 PM,04-27-2026,04-27-2026 14:03:52,0,0,eGFP1,WHEEL
6,02:03 PM,04-27-2026,04-27-2026 14:03:53,0,0,eGFP1,WHEEL
7,02:03 PM,04-27-2026,04-27-2026 14:03:54,0,0,eGFP1,WHEEL
8,02:04 PM,04-27-2026,04-27-2026 14:04:33,0,0,eGFP1,WHEEL
9,02:04 PM,04-27-2026,04-27-2026 14:04:34,0,0,eGFP1,WHEEL
10,02:04 PM,04-27-2026,04-27-2026 14:04:35,0,0,eGFP1,WHEEL
11,02:04 PM,04-27-2026,04-27-2026 14:04:35,0,0,eGFP1,WHEEL
12,02:04 PM,04-27-2026,04-27-2026 14:04:36,0,0,eGFP1,WHEEL
13,02:04 PM,04-27-2026,04-27-2026 14:04:37,0,0,eGFP1,WHEEL
14,02:04 PM,04-27-2026,04-27-2026 14:04:38,0,0,eGFP1,WHEEL
15,02:04 PM,04-27-2026,04-27-2026 14:04:38,0,0,eGFP1,WHEEL
16,02:04 PM,04-27-2026,04-27-2026 14:04:41,0,0,eGFP1,WHEEL
17,02:04 PM,04-27-2026,04-27-2026 14:04:42,0,0,eGFP1,WHEEL
18,02:04 PM,04-27-2026,04-27-2026 14:04:42,0,0,eGFP1,WHEEL
19,02:04 PM,04-27-2026,04-27-2026 14:04:43,0,0,eGFP1,WHEEL
20,02:04 PM,04-27-2026,04-27-2026 14:04:44,0,0,eGFP1,WHEEL
21,02:04 PM,04-27-2026,04-27-2026 14:04:45,0,0,eGFP1,WHEEL
22,02:04 PM,04-27-2026,04-27-2026 14:04:45,0,0,eGFP1,WHEEL
23,02:04 PM,04-27-2026,04-27-2026 14:04:46,0,0,eGFP1,WHEEL
24,02:04 PM,04-27-2026,04-27-2026 14:04:47,0,0,eGFP1,WHEEL
25,02:04 PM,04-27-2026,04-27-2026 14:04:47,0,0,eGFP1,WHEEL
26,02:04 PM,04-27-2026,04-27-2026 14:04:48,0,0,eGFP1,WHEEL
27,02:04 PM,04-27-2026,04-27-2026 14:04:49,0,0,eGFP1,WHEEL
28,02:04 PM,04-27-2026,04-27-2026 14:04:50,0,0,eGFP1,WHEEL
29,02:04 PM,04-27-2026,04-27-2026 14:04:51,0,0,eGFP1,WHEEL
30,02:04 PM,04-27-2026,04-27-2026 14:04:51,0,0,eGFP1,WHEEL
31,02:04 PM,04-27-2026,04-27-2026 14:04:52,0,0,eGFP1,WHEEL
32,02:04 PM,04-27-2026,04-27-2026 14:04:53,0,0,eGFP1,WHEEL
33,02:04 PM,04-27-2026,04-27-2026 14:04:54,0,0,eGFP1,WHEEL
34,02:04 PM,04-27-2026,04-27-2026 14:04:54,0,0,eGFP1,WHEEL
35,02:04 PM,04-27-2026,04-27-2026 14:04:55,0,0,eGFP1,WHEEL
36,02:04 PM,04-27-2026,04-27-2026 14:04:56,0,0,eGFP1,WHEEL
37,02:04 PM,04-27-2026,04-27-2026 14:04:57,0,0,eGFP1,WHEEL
38,02:04 PM,04-27-2026,04-27-2026 14:04:57,0,0,eGFP1,WHEEL
39,02:05 PM,04-27-2026,04-27-2026 14:05:00,0,0,eGFP1,WHEEL
40,02:05 PM,04-27-2026,04-27-2026 14:05:01,0,0,eGFP1,WHEEL
41,02:05 PM,04-27-2026,04-27-2026 14:05:01,0,0,eGFP1,WHEEL
