events,time,date,date-time,reset,rtc_reset,device_id,stream
1,02:05 PM,04-25-2026,04-25-2026 14:05:55,1,0,eGFP1,WHEEL
2,02:05 PM,04-25-2026,04-25-2026 14:05:57,0,0,eGFP1,WHEEL
3,02:05 PM,04-25-2026,04-25-2026 14:05:59,0,0,eGFP1,WHEEL
4,02:06 PM,04-25-2026,04-25-2026 14:06:00,0,0,eGFP1,WHEEL
5,02:06 PM,04-25-2026,04-25-2026 14:06:02,0,0,eGFP1,WHEEL
6,02:06 PM,04-25-2026,04-25-2026 14:06:08,0,0,eGFP1,WHEEL
7,02:06 PM,04-25-2026,04-25-2026 14:06:09,0,0,eGFP1,WHEEL
8,02:06 PM,04-25-2026,04-25-2026 14:06:18,0,0,eGFP1,WHEEL
9,02:06 PM,04-25-2026,04-25-2026 14:06:42,0,0,eGFP1,WHEEL
10,02:06 PM,04-25-2026,04-25-2026 14:06:47,0,0,eGFP1,WHEEL
11,02:06 PM,04-25-2026,04-25-2026 14:06:48,0,0,eGFP1,WHEEL
12,02:06 PM,04-25-2026,04-25-2026 14:06:49,0,0,eGFP1,WHEEL
13,02:06 PM,04-25-2026,04-25-2026 14:06:50,0,0,eGFP1,WHEEL
14,02:06 PM,04-25-2026,04-25-2026 14:06:51,0,0,eGFP1,WHEEL
15,02:06 PM,04-25-2026,04-25-2026 14:06:52,0,0,eGFP1,WHEEL
16,02:06 PM,04-25-2026,04-25-2026 14:06:52,0,0,eGFP1,WHEEL
17,02:06 PM,04-25-2026,04-25-2026 14:06:53,0,0,eGFP1,WHEEL
18,02:06 PM,04-25-2026,04-25-2026 14:06:54,0,0,eGFP1,WHEEL
19,02:06 PM,04-25-2026,04-25-2026 14:06:55,0,0,eGFP1,WHEEL
20,02:06 PM,04-25-2026,04-25-2026 14:06:55,0,0,eGFP1,WHEEL
21,02:06 PM,04-25-2026,04-25-2026 14:06:56,0,0,eGFP1,WHEEL
22,02:06 PM,04-25-2026,04-25-2026 14:06:57,0,0,eGFP1,WHEEL
23,02:06 PM,04-25-2026,04-25-2026 14:06:57,0,0,eGFP1,WHEEL
24,02:06 PM,04-25-2026,04-25-2026 14:06:58,0,0,eGFP1,WHEEL
25,02:06 PM,04-25-2026,04-25-2026 14:06:59,0,0,eGFP1,WHEEL
26,02:06 PM,04-25-2026,04-25-2026 14:06:59,0,0,eGFP1,WHEEL
27,02:07 PM,04-25-2026,04-25-2026 14:07:00,0,0,eGFP1,WHEEL
28,02:07 PM,04-25-2026,04-25-2026 14:07:01,0,0,eGFP1,WHEEL
29,02:07 PM,04-25-2026,04-25-2026 14:07:01,0,0,eGFP1,WHEEL
30,02:07 PM,04-25-2026,04-25-2026 14:07:02,0,0,eGFP1,WHEEL
31,02:07 PM,04-25-2026,04-25-2026 14:07:03,0,0,eGFP1,WHEEL
32,02:07 PM,04-25-2026,04-25-2026 14:07:03,0,0,eGFP1,WHEEL
33,02:07 PM,04-25-2026,04-25-2026 14:07:04,0,0,eGFP1,WHEEL
