wheel_event,time,Tx,Ti_observed,reset,rtc_reset,device_id
1,00:00:00,0.116,0.698,0,0,eGFP2
2,00:00:01,0.129,0.623,0,0,eGFP2
3,00:00:01,0.098,0.559,0,0,eGFP2
4,00:00:02,0.097,0.525,0,0,eGFP2
5,00:00:02,0.086,0.591,0,0,eGFP2
6,00:00:03,0.119,0.788,0,0,eGFP2
7,00:00:04,0.130,0.668,0,0,eGFP2
8,00:00:04,0.097,0.557,0,0,eGFP2
9,00:00:05,0.086,0.492,0,0,eGFP2
10,00:00:05,0.086,0.602,0,0,eGFP2
11,00:00:06,0.121,0.746,0,0,eGFP2
12,00:00:08,0.141,1.502,0,0,eGFP2
13,00:00:09,0.305,1.150,0,0,eGFP2
14,00:00:09,0.119,0.624,0,0,eGFP2
15,00:00:10,0.099,0.494,0,0,eGFP2
16,00:00:11,0.086,1.633,0,0,eGFP2
17,00:00:13,0.218,1.206,0,0,eGFP2
18,00:00:13,0.108,0.591,0,0,eGFP2
19,00:00:14,0.088,0.549,0,0,eGFP2
20,00:00:14,0.086,0.525,0,0,eGFP2
21,00:00:15,0.086,0.525,0,0,eGFP2
22,00:00:15,0.086,0.558,0,0,eGFP2
23,00:00:16,0.108,0.602,0,0,eGFP2
24,00:00:17,0.086,0.525,0,0,eGFP2
25,00:00:17,0.086,0.470,0,0,eGFP2
26,00:00:17,0.076,0.449,0,0,eGFP2
27,00:00:18,0.086,0.459,0,0,eGFP2
28,00:00:18,0.077,0.461,0,0,eGFP2
29,00:00:19,0.088,0.571,0,0,eGFP2
30,00:00:20,0.097,0.602,0,0,eGFP2
31,00:00:20,0.108,0.591,0,0,eGFP2
32,00:00:21,0.097,0.547,0,0,eGFP2
33,00:00:21,0.109,0.570,0,0,eGFP2
34,00:00:22,0.086,0.492,0,0,eGFP2
35,00:00:22,0.086,0.492,0,0,eGFP2
36,00:00:23,0.099,0.637,0,0,eGFP2
37,00:00:23,0.097,0.536,0,0,eGFP2
38,00:00:24,0.087,0.504,0,0,eGFP2
39,00:00:25,0.098,0.756,0,0,eGFP2
40,00:00:25,0.120,0.657,0,0,eGFP2
41,00:00:26,0.120,0.701,0,0,eGFP2
42,00:00:27,0.109,0.581,0,0,eGFP2
43,00:00:27,0.086,0.536,0,0,eGFP2
44,00:00:28,0.123,0.682,0,0,eGFP2
45,00:00:28,0.098,0.548,0,0,eGFP2
46,00:00:29,0.097,0.536,0,0,eGFP2
47,00:00:29,0.087,0.581,0,0,eGFP2
48,00:00:30,0.119,0.701,0,0,eGFP2
49,00:00:31,0.108,0.657,0,0,eGFP2
50,00:00:32,0.135,0.761,0,0,eGFP2
51,00:00:32,0.118,0.612,0,0,eGFP2
52,00:00:33,0.098,0.625,0,0,eGFP2
53,00:00:33,0.108,0.580,0,0,eGFP2
54,00:00:34,0.086,0.525,0,0,eGFP2
55,00:00:34,0.096,0.524,0,0,eGFP2
56,00:00:35,0.086,0.514,0,0,eGFP2
57,00:00:36,0.097,0.668,0,0,eGFP2
58,00:00:36,0.118,0.678,0,0,eGFP2
59,00:00:37,0.109,0.581,0,0,eGFP2
60,00:00:37,0.099,0.549,0,0,eGFP2
61,00:00:38,0.097,0.656,0,0,eGFP2
62,00:00:39,0.108,0.646,0,0,eGFP2
63,00:00:39,0.119,0.580,0,0,eGFP2
64,00:00:40,0.086,0.459,0,0,eGFP2
65,00:00:40,0.086,0.558,0,0,eGFP2
66,00:00:41,0.141,0.788,0,0,eGFP2
67,00:00:42,0.119,0.591,0,0,eGFP2
68,00:00:42,0.088,0.494,0,0,eGFP2
69,00:00:43,0.086,0.481,0,0,eGFP2
70,00:00:43,0.086,0.503,0,0,eGFP2
71,00:00:44,0.097,0.700,0,0,eGFP2
72,00:00:45,0.141,0.756,0,0,eGFP2
73,00:00:45,0.121,0.691,0,0,eGFP2
74,00:00:46,0.086,0.514,0,0,eGFP2
75,00:00:46,0.086,0.569,0,0,eGFP2
76,00:00:47,0.143,0.900,0,0,eGFP2
77,00:00:48,0.108,0.580,0,0,eGFP2
78,00:00:48,0.086,0.470,0,0,eGFP2
79,00:00:49,0.087,0.493,0,0,eGFP2
80,00:00:50,0.097,0.612,0,0,eGFP2
81,00:00:50,0.131,0.734,0,0,eGFP2
82,00:00:51,0.108,0.602,0,0,eGFP2
83,00:00:51,0.097,0.569,0,0,eGFP2
84,00:00:52,0.110,0.714,0,0,eGFP2
85,00:00:53,0.108,0.569,0,0,eGFP2
86,00:00:53,0.086,0.536,0,0,eGFP2
87,00:00:54,0.097,0.547,0,0,eGFP2
88,00:00:54,0.088,0.527,0,0,eGFP2
89,00:00:55,0.097,0.635,0,0,eGFP2
90,00:00:56,0.108,0.569,0,0,eGFP2
91,00:00:56,0.086,0.503,0,0,eGFP2
92,00:00:57,0.087,0.580,0,0,eGFP2
93,00:00:57,0.132,0.802,0,0,eGFP2
94,00:00:58,0.119,0.668,0,0,eGFP2
95,00:00:59,0.097,0.613,0,0,eGFP2
96,00:00:59,0.119,0.602,0,0,eGFP2
97,00:01:00,0.097,0.547,0,0,eGFP2
98,00:01:00,0.097,0.646,0,0,eGFP2
99,00:01:01,0.108,0.756,0,0,eGFP2
100,00:01:02,0.130,0.668,0,0,eGFP2
101,00:01:02,0.110,0.560,0,0,eGFP2
102,00:01:03,0.077,0.494,0,0,eGFP2
103,00:01:03,0.086,0.536,0,0,eGFP2
104,00:01:04,0.109,0.690,0,0,eGFP2
105,00:01:05,0.131,0.690,0,0,eGFP2
106,00:01:06,0.109,0.690,0,0,eGFP2
107,00:01:06,0.131,0.723,0,0,eGFP2
108,00:01:07,0.120,0.690,0,0,eGFP2
109,00:01:08,0.111,0.604,0,0,eGFP2
110,00:01:08,0.098,0.537,0,0,eGFP2
111,00:01:09,0.086,0.547,0,0,eGFP2
112,00:01:09,0.109,0.745,0,0,eGFP2
113,00:01:10,0.147,0.717,0,0,eGFP2
114,00:01:11,0.108,0.591,0,0,eGFP2
115,00:01:11,0.108,0.580,0,0,eGFP2
116,00:01:12,0.085,0.513,0,0,eGFP2
117,00:01:13,0.089,0.836,0,0,eGFP2
118,00:01:13,0.151,0.799,0,0,eGFP2
119,00:01:14,0.130,0.667,0,0,eGFP2
120,00:01:15,0.097,0.602,0,0,eGFP2
121,00:01:15,0.097,0.777,0,0,eGFP2
122,00:01:17,0.218,1.633,0,0,eGFP2
123,00:01:18,0.141,0.701,0,0,eGFP2
124,00:01:18,0.119,0.634,0,0,eGFP2
125,00:01:19,0.110,0.582,0,0,eGFP2
126,00:01:20,0.086,0.514,0,0,eGFP2
127,00:01:20,0.096,0.601,0,0,eGFP2
128,00:01:21,0.108,0.679,0,0,eGFP2
129,00:01:21,0.119,0.667,0,0,eGFP2
130,00:01:22,0.108,0.591,0,0,eGFP2
131,00:01:23,0.110,0.669,0,0,eGFP2
132,00:01:23,0.119,0.668,0,0,eGFP2
133,00:01:24,0.109,0.603,0,0,eGFP2
134,00:01:25,0.097,0.525,0,0,eGFP2
135,00:01:25,0.086,0.580,0,0,eGFP2
136,00:01:26,0.152,0.766,0,0,eGFP2
137,00:01:27,0.108,0.679,0,0,eGFP2
138,00:01:27,0.119,0.580,0,0,eGFP2
139,00:01:28,0.086,0.503,0,0,eGFP2
140,00:01:28,0.086,0.547,0,0,eGFP2
141,00:01:29,0.099,0.592,0,0,eGFP2
142,00:01:30,0.109,0.778,0,0,eGFP2
143,00:01:30,0.130,0.679,0,0,eGFP2
144,00:01:31,0.097,0.536,0,0,eGFP2
145,00:01:31,0.098,0.559,0,0,eGFP2
146,00:01:32,0.108,0.767,0,0,eGFP2
147,00:01:33,0.130,0.733,0,0,eGFP2
148,00:01:33,0.120,0.602,0,0,eGFP2
149,00:01:34,0.087,0.536,0,0,eGFP2
150,00:01:35,0.086,0.579,0,0,eGFP2
151,00:01:35,0.141,0.789,0,0,eGFP2
152,00:01:36,0.108,0.580,0,0,eGFP2
153,00:01:36,0.086,0.536,0,0,eGFP2
154,00:01:37,0.097,0.525,0,0,eGFP2
155,00:01:38,0.108,0.921,0,0,eGFP2
156,00:01:39,0.130,0.678,0,0,eGFP2
157,00:01:39,0.120,0.723,0,0,eGFP2
158,00:01:40,0.110,0.560,0,0,eGFP2
159,00:01:40,0.088,0.483,0,0,eGFP2
160,00:01:41,0.086,0.569,0,0,eGFP2
161,00:01:42,0.130,0.778,0,0,eGFP2
162,00:01:42,0.108,0.569,0,0,eGFP2
163,00:01:43,0.086,0.481,0,0,eGFP2
164,00:01:43,0.087,0.559,0,0,eGFP2
165,00:01:44,0.108,0.701,0,0,eGFP2
166,00:01:45,0.121,0.603,0,0,eGFP2
167,00:01:45,0.098,0.515,0,0,eGFP2
168,00:01:46,0.086,0.613,0,0,eGFP2
169,00:01:47,0.141,0.789,0,0,eGFP2
170,00:01:47,0.119,0.613,0,0,eGFP2
171,00:01:48,0.097,0.657,0,0,eGFP2
172,00:01:48,0.108,0.569,0,0,eGFP2
173,00:01:49,0.098,0.613,0,0,eGFP2
174,00:01:50,0.123,0.771,0,0,eGFP2
175,00:01:50,0.119,0.569,0,0,eGFP2
176,00:01:51,0.087,0.514,0,0,eGFP2
177,00:01:52,0.102,0.717,0,0,eGFP2
178,00:01:52,0.130,0.744,0,0,eGFP2
179,00:01:53,0.130,0.733,0,0,eGFP2
180,00:01:54,0.119,0.679,0,0,eGFP2
