wheel_event,time,Tx,Ti_observed,reset,rtc_reset,device_id
1,03:33:58,0.095,14030.552,0,0,eGFP7
2,03:34:06,0.401,8.665,0,0,eGFP7
3,03:34:15,0.185,8.602,0,0,eGFP7
4,03:34:18,0.218,3.400,0,0,eGFP7
5,03:34:22,0.131,3.708,0,0,eGFP7
6,03:34:26,0.229,4.081,0,0,eGFP7
7,03:34:29,0.142,2.611,0,0,eGFP7
8,03:34:33,0.110,3.852,0,0,eGFP7
9,03:34:35,0.103,2.737,0,0,eGFP7
10,03:34:40,0.107,4.354,0,0,eGFP7
11,03:34:42,0.097,2.588,0,0,eGFP7
12,03:34:45,0.097,2.248,0,0,eGFP7
13,03:34:47,0.107,2.302,0,0,eGFP7
14,03:35:30,0.097,43.214,0,0,eGFP7
15,03:35:32,0.087,2.238,0,0,eGFP7
16,03:35:35,0.077,2.216,0,0,eGFP7
17,03:35:39,0.075,4.267,0,0,eGFP7
18,03:35:41,0.174,2.292,0,0,eGFP7
19,03:43:41,0.075,479.870,0,0,eGFP7
20,03:54:07,0.174,625.946,0,0,eGFP7
21,03:54:18,0.152,10.972,0,0,eGFP7
22,03:54:20,0.240,2.149,0,0,eGFP7
23,03:54:22,0.086,2.347,0,0,eGFP7
24,06:50:35,0.142,10572.793,0,0,eGFP7
25,06:51:47,0.657,71.692,0,0,eGFP7
26,06:51:51,0.261,4.750,0,0,eGFP7
27,06:51:55,0.140,3.246,0,0,eGFP7
28,06:51:58,0.141,2.863,0,0,eGFP7
29,06:52:01,0.460,3.281,0,0,eGFP7
30,06:52:05,0.151,3.992,0,0,eGFP7
31,06:52:08,0.130,2.874,0,0,eGFP7
32,09:10:50,0.174,8322.535,0,0,eGFP7
33,09:10:55,0.351,4.367,0,0,eGFP7
34,12:02:57,0.229,10322.870,0,0,eGFP7
35,12:03:04,3.378,6.352,0,0,eGFP7
36,12:03:11,0.141,6.956,0,0,eGFP7
37,12:03:13,0.108,2.061,0,0,eGFP7
38,12:03:15,0.086,2.391,0,0,eGFP7
39,12:10:18,0.130,423.167,0,0,eGFP7
40,12:10:22,0.163,4.191,0,0,eGFP7
41,12:10:26,0.164,3.226,0,0,eGFP7
42,12:10:28,0.163,2.632,0,0,eGFP7
43,12:10:44,0.187,15.364,0,0,eGFP7
44,12:10:45,0.097,1.579,0,0,eGFP7
45,12:10:47,0.086,1.842,0,0,eGFP7
46,12:10:49,0.064,1.941,0,0,eGFP7
47,12:10:50,0.086,1.359,0,0,eGFP7
48,12:10:52,0.086,1.765,0,0,eGFP7
49,12:10:55,0.110,2.777,0,0,eGFP7
50,12:10:56,0.075,1.337,0,0,eGFP7
51,12:10:58,0.141,1.414,0,0,eGFP7
52,12:10:59,0.119,1.348,0,0,eGFP7
53,12:11:00,0.098,1.239,0,0,eGFP7
54,12:11:02,0.141,1.381,0,0,eGFP7
55,12:11:03,0.108,1.283,0,0,eGFP7
56,12:11:04,0.097,1.030,0,0,eGFP7
57,12:11:05,0.121,1.130,0,0,eGFP7
58,12:11:06,0.121,1.109,0,0,eGFP7
59,12:11:09,0.086,2.446,0,0,eGFP7
60,12:11:10,0.229,1.271,0,0,eGFP7
61,12:11:23,0.119,13.047,0,0,eGFP7
62,12:11:25,0.119,2.479,0,0,eGFP7
63,12:11:30,0.306,4.904,0,0,eGFP7
64,12:11:31,0.119,1.085,0,0,eGFP7
65,12:11:32,0.110,1.065,0,0,eGFP7
66,12:11:40,0.086,7.834,0,0,eGFP7
67,12:11:41,0.174,1.118,0,0,eGFP7
68,12:11:42,0.064,0.843,0,0,eGFP7
69,12:11:43,0.109,1.294,0,0,eGFP7
70,12:11:48,0.065,4.805,0,0,eGFP7
71,12:11:49,0.098,0.844,0,0,eGFP7
72,12:11:51,0.077,1.789,0,0,eGFP7
73,12:11:52,0.071,0.774,0,0,eGFP7
74,12:11:53,0.063,1.742,0,0,eGFP7
75,12:11:54,0.097,0.898,0,0,eGFP7
76,12:11:55,0.097,0.898,0,0,eGFP7
77,12:11:57,0.086,1.579,0,0,eGFP7
78,12:11:58,0.075,0.909,0,0,eGFP7
79,12:11:59,0.064,1.293,0,0,eGFP7
80,12:12:00,0.086,0.909,0,0,eGFP7
81,12:12:01,0.153,1.415,0,0,eGFP7
82,12:12:02,0.075,0.712,0,0,eGFP7
83,12:12:03,0.053,1.205,0,0,eGFP7
84,12:12:04,0.075,0.755,0,0,eGFP7
85,12:12:05,0.075,1.129,0,0,eGFP7
