wheel_event,time,Tx,Ti_observed,reset,rtc_reset,device_id
1,00:07:08,0.710,439.111,0,0,eGFP7
2,00:07:15,0.243,6.520,0,0,eGFP7
3,00:07:16,0.150,0.995,0,0,eGFP7
4,00:07:19,0.349,3.147,0,0,eGFP7
5,00:07:20,0.284,0.646,0,0,eGFP7
6,00:07:25,1.819,4.826,0,0,eGFP7
7,00:07:25,0.205,0.600,0,0,eGFP7
8,00:07:27,0.546,2.094,0,0,eGFP7
9,00:07:31,0.216,4.167,0,0,eGFP7
10,00:07:34,0.304,2.192,0,0,eGFP7
11,00:07:37,0.162,2.993,0,0,eGFP7
12,12:13:33,0.217,43557.289,0,0,eGFP7
13,12:13:48,0.535,14.713,0,0,eGFP7
14,12:13:52,0.336,4.199,0,0,eGFP7
15,12:13:57,0.413,5.374,0,0,eGFP7
16,12:14:01,0.140,3.717,0,0,eGFP7
17,12:14:05,0.250,3.882,0,0,eGFP7
18,12:14:07,0.162,1.962,0,0,eGFP7
19,12:14:12,0.118,4.573,0,0,eGFP7
20,12:14:14,0.107,2.105,0,0,eGFP7
21,12:14:21,0.250,6.955,0,0,eGFP7
22,12:14:22,0.108,1.436,0,0,eGFP7
23,12:14:24,0.645,2.050,0,0,eGFP7
24,12:14:26,0.118,2.291,0,0,eGFP7
25,12:14:28,0.096,1.128,0,0,eGFP7
26,12:14:32,0.107,4.507,0,0,eGFP7
27,12:14:38,0.097,5.935,0,0,eGFP7
28,12:14:48,0.337,9.599,0,0,eGFP7
29,12:14:52,0.153,4.620,0,0,eGFP7
30,12:14:56,1.162,3.576,0,0,eGFP7
31,12:15:02,0.272,6.363,0,0,eGFP7
32,12:15:07,0.513,4.947,0,0,eGFP7
33,12:15:12,1.116,4.474,0,0,eGFP7
34,12:15:13,0.316,1.633,0,0,eGFP7
35,12:15:15,0.118,1.512,0,0,eGFP7
36,12:15:17,0.140,2.456,0,0,eGFP7
37,12:15:28,0.645,10.730,0,0,eGFP7
38,12:15:29,0.131,1.250,0,0,eGFP7
39,12:15:30,0.108,1.117,0,0,eGFP7
40,12:15:31,0.108,1.183,0,0,eGFP7
41,12:15:33,0.096,1.227,0,0,eGFP7
42,12:15:35,0.151,2.039,0,0,eGFP7
43,12:15:37,0.195,2.192,0,0,eGFP7
44,12:15:39,0.120,2.392,0,0,eGFP7
45,12:15:41,0.206,1.270,0,0,eGFP7
46,12:15:42,0.077,1.174,0,0,eGFP7
47,12:15:44,0.261,2.225,0,0,eGFP7
48,12:15:45,0.119,1.019,0,0,eGFP7
49,12:15:48,0.074,3.147,0,0,eGFP7
50,12:15:55,0.107,7.120,0,0,eGFP7
51,12:15:58,1.183,2.763,0,0,eGFP7
52,12:16:02,1.007,3.992,0,0,eGFP7
53,12:16:03,0.174,1.348,0,0,eGFP7
54,12:16:04,0.076,1.064,0,0,eGFP7
55,12:16:06,0.217,1.424,0,0,eGFP7
56,12:16:09,0.075,2.895,0,0,eGFP7
57,12:16:20,0.163,11.356,0,0,eGFP7
58,12:16:25,0.428,4.938,0,0,eGFP7
59,12:16:30,0.975,5.101,0,0,eGFP7
60,12:16:37,2.972,6.999,0,0,eGFP7
61,12:16:41,0.338,3.575,0,0,eGFP7
62,12:16:44,0.428,2.820,0,0,eGFP7
63,12:16:49,0.174,5.496,0,0,eGFP7
64,12:16:53,0.282,3.848,0,0,eGFP7
65,12:16:54,0.316,0.755,0,0,eGFP7
66,12:17:11,2.872,17.478,0,0,eGFP7
67,12:17:17,1.446,5.660,0,0,eGFP7
68,12:17:21,0.217,4.025,0,0,eGFP7
69,12:17:22,0.172,1.632,0,0,eGFP7
70,12:17:24,0.262,1.897,0,0,eGFP7
71,12:17:25,0.140,1.172,0,0,eGFP7
72,12:17:27,0.117,1.797,0,0,eGFP7
73,12:17:29,0.086,1.480,0,0,eGFP7
74,12:17:30,0.129,1.226,0,0,eGFP7
75,12:17:35,0.085,5.419,0,0,eGFP7
76,12:17:37,0.194,1.138,0,0,eGFP7
77,12:17:45,0.074,8.338,0,0,eGFP7
78,12:17:54,0.260,8.787,0,0,eGFP7
79,12:18:02,0.504,8.043,0,0,eGFP7
80,12:18:18,0.304,16.436,0,0,eGFP7
81,12:19:43,0.261,85.299,0,0,eGFP7
82,12:19:45,0.173,1.391,0,0,eGFP7
83,12:19:46,0.118,1.347,0,0,eGFP7
84,12:19:47,0.085,1.226,0,0,eGFP7
85,12:19:49,0.107,2.050,0,0,eGFP7
86,12:19:51,0.085,1.182,0,0,eGFP7
87,12:19:52,0.098,1.393,0,0,eGFP7
88,12:19:54,0.073,1.818,0,0,eGFP7
89,12:19:55,0.096,1.347,0,0,eGFP7
90,12:19:56,0.129,1.106,0,0,eGFP7
91,12:19:58,0.085,1.742,0,0,eGFP7
92,12:19:59,0.107,1.281,0,0,eGFP7
93,12:20:02,0.086,2.226,0,0,eGFP7
94,12:20:03,0.184,1.160,0,0,eGFP7
95,12:20:04,0.087,1.119,0,0,eGFP7
96,12:20:05,0.074,0.908,0,0,eGFP7
97,12:20:08,0.107,3.630,0,0,eGFP7
98,12:20:09,0.096,0.941,0,0,eGFP7
99,12:20:13,0.086,3.608,0,0,eGFP7
100,12:20:14,0.195,1.249,0,0,eGFP7
101,12:20:17,0.436,3.081,0,0,eGFP7
102,12:20:31,1.272,13.728,0,0,eGFP7
103,12:20:35,0.109,3.851,0,0,eGFP7
104,12:20:36,0.173,0.777,0,0,eGFP7
105,12:20:37,0.875,1.347,0,0,eGFP7
106,12:20:50,10.642,12.727,0,0,eGFP7
107,12:20:50,0.173,0.832,0,0,eGFP7
108,12:20:54,2.093,3.948,0,0,eGFP7
109,12:20:56,0.118,1.457,0,0,eGFP7
110,12:20:57,0.118,1.205,0,0,eGFP7
111,12:21:00,0.087,3.116,0,0,eGFP7
112,12:21:04,0.195,3.509,0,0,eGFP7
113,12:21:06,0.075,2.555,0,0,eGFP7
114,12:21:15,0.162,9.040,0,0,eGFP7
115,12:21:19,0.239,3.268,0,0,eGFP7
116,12:21:20,0.219,1.273,0,0,eGFP7
117,12:31:06,0.096,586.076,0,0,eGFP7
118,12:31:08,0.119,2.215,0,0,eGFP7
119,12:31:09,0.109,1.075,0,0,eGFP7
120,12:31:10,0.096,1.204,0,0,eGFP7
121,12:31:11,0.097,1.052,0,0,eGFP7
122,12:31:14,0.261,2.939,0,0,eGFP7
123,12:31:16,0.096,1.369,0,0,eGFP7
124,12:31:19,0.075,3.104,0,0,eGFP7
125,12:31:20,0.107,1.150,0,0,eGFP7
126,12:31:21,0.085,1.183,0,0,eGFP7
127,12:31:22,0.126,0.960,0,0,eGFP7
128,12:31:26,0.084,3.585,0,0,eGFP7
129,12:31:26,0.140,0.557,0,0,eGFP7
130,12:31:27,0.196,0.953,0,0,eGFP7
131,12:31:28,0.140,0.897,0,0,eGFP7
132,12:31:30,0.074,1.764,0,0,eGFP7
133,12:31:31,0.074,0.820,0,0,eGFP7
134,12:31:32,0.096,1.106,0,0,eGFP7
135,12:31:33,0.086,1.173,0,0,eGFP7
136,12:31:34,0.074,0.886,0,0,eGFP7
137,12:31:37,0.140,2.993,0,0,eGFP7
138,12:31:38,0.206,1.182,0,0,eGFP7
139,12:31:40,0.085,1.457,0,0,eGFP7
140,12:31:40,0.074,0.886,0,0,eGFP7
141,12:31:42,0.129,1.424,0,0,eGFP7
142,12:31:43,0.063,0.930,0,0,eGFP7
143,12:31:44,0.129,1.599,0,0,eGFP7
144,12:31:45,0.076,1.042,0,0,eGFP7
145,12:31:47,0.131,1.733,0,0,eGFP7
146,12:31:48,0.085,1.314,0,0,eGFP7
147,12:31:49,0.118,0.908,0,0,eGFP7
148,12:31:51,0.074,1.248,0,0,eGFP7
149,12:31:52,0.130,1.392,0,0,eGFP7
150,12:31:54,0.074,2.038,0,0,eGFP7
151,12:31:55,0.118,1.007,0,0,eGFP7
152,12:31:57,0.087,1.546,0,0,eGFP7
153,12:31:58,0.075,1.348,0,0,eGFP7
154,12:31:59,0.096,0.963,0,0,eGFP7
155,12:32:01,0.151,1.610,0,0,eGFP7
156,12:32:03,0.086,2.050,0,0,eGFP7
157,12:32:04,0.063,1.556,0,0,eGFP7
158,12:32:06,0.074,1.885,0,0,eGFP7
159,12:32:07,0.098,1.129,0,0,eGFP7
160,12:32:08,0.098,1.108,0,0,eGFP7
161,12:32:09,0.107,1.029,0,0,eGFP7
162,12:32:11,0.085,1.698,0,0,eGFP7
163,12:32:12,0.075,1.414,0,0,eGFP7
164,12:32:14,0.085,1.885,0,0,eGFP7
165,12:32:15,0.096,0.809,0,0,eGFP7
166,12:32:16,0.064,1.271,0,0,eGFP7
167,12:32:17,0.085,0.853,0,0,eGFP7
168,12:32:19,0.098,1.316,0,0,eGFP7
169,12:32:20,0.064,1.150,0,0,eGFP7
170,12:32:21,0.174,1.019,0,0,eGFP7
171,12:32:22,0.074,1.380,0,0,eGFP7
172,12:32:24,0.074,2.017,0,0,eGFP7
173,12:32:27,0.131,3.083,0,0,eGFP7
174,12:32:29,0.085,2.225,0,0,eGFP7
175,12:32:31,0.138,1.345,0,0,eGFP7
176,12:32:32,0.098,0.866,0,0,eGFP7
177,12:32:33,0.063,1.039,0,0,eGFP7
178,12:32:34,0.096,1.084,0,0,eGFP7
179,12:32:35,0.096,1.687,0,0,eGFP7
180,12:32:36,0.085,0.919,0,0,eGFP7
181,12:32:38,0.096,1.522,0,0,eGFP7
182,12:32:39,0.085,0.831,0,0,eGFP7
183,12:32:40,0.096,1.172,0,0,eGFP7
184,12:32:41,0.075,0.931,0,0,eGFP7
185,12:32:42,0.151,1.215,0,0,eGFP7
186,12:32:43,0.074,1.172,0,0,eGFP7
187,12:32:44,0.108,0.876,0,0,eGFP7
188,12:32:47,0.053,2.533,0,0,eGFP7
189,12:32:48,0.118,0.897,0,0,eGFP7
