wheel_event,time,Tx,Ti_observed,reset,rtc_reset,device_id
1,00:03:37,0.495,1022.737,0,0,eGFP7
2,02:08:14,2.846,7476.937,0,0,eGFP7
3,02:18:14,0.139,599.859,0,0,eGFP7
4,02:18:16,0.251,2.106,0,0,eGFP7
5,02:18:20,0.106,3.739,0,0,eGFP7
6,02:18:31,0.337,11.673,0,0,eGFP7
7,02:18:33,0.206,1.764,0,0,eGFP7
8,02:18:35,0.085,1.665,0,0,eGFP7
9,02:18:37,0.107,1.951,0,0,eGFP7
10,02:18:39,0.085,2.016,0,0,eGFP7
11,05:00:20,303.595,9701.960,0,0,eGFP7
12,05:00:25,0.295,4.959,0,0,eGFP7
13,07:19:40,0.425,8355.060,0,0,eGFP7
14,07:19:44,0.427,3.730,0,0,eGFP7
15,12:05:44,2.127,17160.598,0,0,eGFP7
16,12:06:44,0.864,60.354,0,0,eGFP7
17,12:06:47,1.040,2.412,0,0,eGFP7
18,12:06:49,0.140,2.016,0,0,eGFP7
19,12:06:51,0.075,2.083,0,0,eGFP7
20,12:06:52,0.076,1.458,0,0,eGFP7
21,12:06:53,0.162,0.854,0,0,eGFP7
22,12:06:55,0.645,1.775,0,0,eGFP7
23,12:06:56,0.085,1.007,0,0,eGFP7
24,12:06:57,0.096,1.084,0,0,eGFP7
25,12:06:58,0.074,0.842,0,0,eGFP7
26,12:06:59,0.086,1.040,0,0,eGFP7
27,12:07:00,0.086,1.205,0,0,eGFP7
28,12:07:01,0.129,0.546,0,0,eGFP7
29,12:07:21,0.594,19.831,0,0,eGFP7
30,12:07:37,15.668,16.765,0,0,eGFP7
31,12:07:39,0.382,1.479,0,0,eGFP7
32,12:07:45,0.086,6.506,0,0,eGFP7
33,12:07:46,0.129,0.656,0,0,eGFP7
34,12:07:51,0.195,4.540,0,0,eGFP7
35,12:07:53,0.151,2.686,0,0,eGFP7
36,12:07:55,0.174,1.600,0,0,eGFP7
37,12:07:57,0.186,1.777,0,0,eGFP7
38,12:07:58,0.119,1.600,0,0,eGFP7
39,12:08:51,0.184,52.827,0,0,eGFP7
40,12:08:53,0.316,1.457,0,0,eGFP7
41,12:11:10,0.140,137.206,0,0,eGFP7
42,12:11:13,0.085,3.443,0,0,eGFP7
43,12:11:15,0.066,1.734,0,0,eGFP7
44,12:11:19,0.074,3.849,0,0,eGFP7
45,12:11:21,0.120,1.821,0,0,eGFP7
46,12:11:22,0.075,1.139,0,0,eGFP7
47,12:11:23,0.084,0.885,0,0,eGFP7
48,12:11:24,0.129,1.380,0,0,eGFP7
49,12:11:25,0.085,1.380,0,0,eGFP7
50,12:11:41,5.143,15.876,0,0,eGFP7
51,12:11:43,0.129,1.303,0,0,eGFP7
52,12:11:50,0.118,6.977,0,0,eGFP7
53,12:11:54,1.063,4.662,0,0,eGFP7
54,12:11:55,0.140,1.215,0,0,eGFP7
55,12:11:56,0.096,1.084,0,0,eGFP7
56,12:11:58,0.107,1.259,0,0,eGFP7
57,12:11:59,0.140,1.259,0,0,eGFP7
58,12:12:00,0.087,1.184,0,0,eGFP7
59,12:12:02,0.140,1.666,0,0,eGFP7
60,12:12:03,0.129,1.413,0,0,eGFP7
61,12:12:05,0.086,1.282,0,0,eGFP7
62,12:12:06,0.118,1.106,0,0,eGFP7
63,12:12:08,0.118,2.302,0,0,eGFP7
64,12:12:09,0.184,1.193,0,0,eGFP7
65,12:12:10,0.140,0.579,0,0,eGFP7
66,12:12:17,1.391,6.768,0,0,eGFP7
67,12:12:18,0.129,1.336,0,0,eGFP7
68,12:12:19,0.108,1.260,0,0,eGFP7
69,12:12:21,0.120,1.425,0,0,eGFP7
70,12:12:22,0.086,1.260,0,0,eGFP7
71,12:12:23,0.129,1.369,0,0,eGFP7
72,12:12:25,0.087,1.491,0,0,eGFP7
73,12:12:26,0.075,0.887,0,0,eGFP7
74,12:12:28,0.085,2.203,0,0,eGFP7
75,12:12:30,0.074,1.863,0,0,eGFP7
76,12:12:31,0.118,1.709,0,0,eGFP7
77,12:12:32,0.076,0.789,0,0,eGFP7
78,12:12:34,0.064,1.962,0,0,eGFP7
79,12:12:35,0.096,1.150,0,0,eGFP7
80,12:12:38,0.140,2.368,0,0,eGFP7
81,12:12:38,0.074,0.733,0,0,eGFP7
82,12:12:39,0.063,0.930,0,0,eGFP7
83,12:12:41,0.403,1.501,0,0,eGFP7
84,12:12:42,0.085,1.040,0,0,eGFP7
85,12:12:43,0.076,0.734,0,0,eGFP7
86,12:12:44,0.075,1.951,0,0,eGFP7
87,12:12:45,0.087,1.009,0,0,eGFP7
88,12:12:46,0.074,1.018,0,0,eGFP7
89,12:12:47,0.085,0.810,0,0,eGFP7
90,12:12:48,0.066,0.889,0,0,eGFP7
91,12:12:51,0.096,2.444,0,0,eGFP7
92,12:12:51,0.075,0.854,0,0,eGFP7
93,12:12:56,0.085,4.376,0,0,eGFP7
94,12:12:57,0.065,0.702,0,0,eGFP7
95,12:12:57,0.063,0.788,0,0,eGFP7
96,12:12:59,0.074,1.556,0,0,eGFP7
97,12:13:00,0.096,0.919,0,0,eGFP7
98,12:13:02,0.064,1.929,0,0,eGFP7
99,12:13:02,0.064,0.689,0,0,eGFP7
100,12:13:10,0.086,7.779,0,0,eGFP7
101,12:13:11,0.107,0.787,0,0,eGFP7
102,12:13:12,0.057,0.693,0,0,eGFP7
