wheel_event,time,Tx,Ti_observed,reset,rtc_reset,device_id
0,16:13:23,0.000,0.000,1,0,eGFP1
1,16:13:24,0.035,1.165,0,0,eGFP1
2,16:13:24,0.035,0.628,0,0,eGFP1
3,16:13:25,0.034,0.890,0,0,eGFP1
4,16:13:25,0.034,0.045,0,0,eGFP1
5,16:13:34,0.031,8.548,0,0,eGFP1
6,16:13:34,0.034,0.253,0,0,eGFP1
7,16:13:34,0.036,0.245,0,0,eGFP1
8,16:13:35,0.046,0.266,0,0,eGFP1
9,16:13:35,0.033,0.264,0,0,eGFP1
10,16:13:35,0.043,0.285,0,0,eGFP1
11,16:13:36,0.033,0.297,0,0,eGFP1
12,16:13:36,0.045,0.341,0,0,eGFP1
13,16:13:36,0.068,0.419,0,0,eGFP1
14,16:13:37,0.079,0.704,0,0,eGFP1
15,16:13:37,0.045,0.341,0,0,eGFP1
16,16:13:38,0.067,0.386,0,0,eGFP1
17,16:13:38,0.080,0.432,0,0,eGFP1
18,16:13:39,0.089,0.473,0,0,eGFP1
19,16:13:39,0.092,0.542,0,0,eGFP1
20,16:13:40,0.110,0.648,0,0,eGFP1
21,16:13:41,0.135,0.892,0,0,eGFP1
22,16:13:41,0.059,0.311,0,0,eGFP1
23,16:13:41,0.056,0.319,0,0,eGFP1
24,16:13:42,0.057,0.332,0,0,eGFP1
25,16:13:42,0.068,0.364,0,0,eGFP1
26,16:13:42,0.069,0.387,0,0,eGFP1
27,16:13:43,0.082,0.433,0,0,eGFP1
28,16:13:43,0.079,0.475,0,0,eGFP1
29,16:13:44,0.102,0.563,0,0,eGFP1
30,16:13:48,0.134,3.986,0,0,eGFP1
31,16:13:48,0.045,0.231,0,0,eGFP1
32,16:13:48,0.036,0.212,0,0,eGFP1
33,16:13:49,0.033,0.220,0,0,eGFP1
34,16:13:49,0.037,0.235,0,0,eGFP1
35,16:13:49,0.035,0.233,0,0,eGFP1
36,16:13:50,0.035,1.177,0,0,eGFP1
37,16:13:51,0.034,0.682,0,0,eGFP1
38,16:13:51,0.034,0.132,0,0,eGFP1
39,16:13:52,0.034,0.648,0,0,eGFP1
40,16:14:08,0.034,16.301,0,0,eGFP1
41,16:14:08,0.159,0.521,0,0,eGFP1
42,16:14:09,0.044,0.318,0,0,eGFP1
43,16:14:09,0.044,0.340,0,0,eGFP1
44,16:14:09,0.053,0.383,0,0,eGFP1
45,16:14:10,0.064,0.415,0,0,eGFP1
46,16:14:10,0.064,0.459,0,0,eGFP1
47,16:14:11,0.087,0.570,0,0,eGFP1
48,16:14:12,0.097,0.667,0,0,eGFP1
49,16:14:12,0.065,0.383,0,0,eGFP1
50,16:14:12,0.053,0.393,0,0,eGFP1
51,16:14:13,0.066,0.439,0,0,eGFP1
52,16:14:13,0.064,0.460,0,0,eGFP1
53,16:14:14,0.097,0.569,0,0,eGFP1
54,16:14:14,0.086,0.624,0,0,eGFP1
55,16:14:19,0.119,4.202,0,0,eGFP1
56,16:14:19,0.086,0.492,0,0,eGFP1
57,16:14:20,0.086,0.515,0,0,eGFP1
58,16:14:20,0.076,0.526,0,0,eGFP1
59,16:14:21,0.110,0.757,0,0,eGFP1
60,16:14:26,0.174,4.696,0,0,eGFP1
61,16:14:37,0.317,11.063,0,0,eGFP1
62,16:14:37,0.174,0.185,0,0,eGFP1
63,16:14:37,0.031,0.284,0,0,eGFP1
64,16:14:37,0.053,0.174,0,0,eGFP1
65,16:14:40,0.064,2.325,0,0,eGFP1
66,16:14:40,0.031,0.042,0,0,eGFP1
67,16:14:41,0.292,0.874,0,0,eGFP1
68,16:54:26,0.516,2385.796,0,0,eGFP1
69,16:54:27,0.163,0.426,0,0,eGFP1
70,16:54:27,0.087,0.504,0,0,eGFP1
71,16:54:28,0.108,0.174,0,0,eGFP1
72,16:54:32,2.283,4.796,0,0,eGFP1
73,16:54:34,0.624,1.744,0,0,eGFP1
74,16:54:35,0.328,0.964,0,0,eGFP1
75,16:54:37,0.306,2.326,0,0,eGFP1
76,16:54:45,2.414,8.089,0,0,eGFP1
77,16:54:51,1.217,5.333,0,0,eGFP1
78,16:57:57,4.016,186.177,0,0,eGFP1
79,16:58:44,11.787,47.064,0,0,eGFP1
80,16:58:50,4.993,5.695,0,0,eGFP1
81,16:59:02,1.942,12.545,0,0,eGFP1
82,16:59:51,3.500,49.205,0,0,eGFP1
83,17:02:57,9.449,185.693,0,0,eGFP1
84,17:03:16,7.990,18.867,0,0,eGFP1
85,17:03:34,2.788,18.429,0,0,eGFP1
86,17:03:46,0.318,11.854,0,0,eGFP1
87,17:04:49,0.174,62.475,0,0,eGFP1
88,17:04:55,1.492,6.497,0,0,eGFP1
89,17:05:22,10.316,26.945,0,0,eGFP1
90,17:05:23,0.196,0.887,0,0,eGFP1
91,17:05:29,0.328,5.619,0,0,eGFP1
92,17:05:33,1.425,4.356,0,0,eGFP1
93,17:05:40,0.481,7.188,0,0,eGFP1
94,17:05:41,0.843,1.128,0,0,eGFP1
95,17:05:46,0.449,4.158,0,0,eGFP1
96,17:05:46,0.295,0.899,0,0,eGFP1
97,17:05:50,0.580,3.665,0,0,eGFP1
98,17:05:52,0.481,1.513,0,0,eGFP1
99,17:06:03,0.646,11.008,0,0,eGFP1
100,17:06:06,1.755,3.138,0,0,eGFP1
101,17:06:11,1.229,5.334,0,0,eGFP1
102,17:06:16,0.395,4.687,0,0,eGFP1
103,17:06:16,0.218,0.624,0,0,eGFP1
104,17:06:21,0.339,4.697,0,0,eGFP1
105,17:06:22,0.745,1.217,0,0,eGFP1
106,17:06:36,1.140,14.048,0,0,eGFP1
107,17:06:41,2.095,4.334,0,0,eGFP1
108,17:08:11,8.351,90.728,0,0,eGFP1
109,17:08:16,0.426,4.180,0,0,eGFP1
110,17:08:17,0.395,1.296,0,0,eGFP1
111,17:08:18,0.295,0.909,0,0,eGFP1
112,17:08:25,2.534,7.210,0,0,eGFP1
113,17:08:31,0.273,5.520,0,0,eGFP1
114,17:08:32,0.514,1.349,0,0,eGFP1
115,17:09:30,0.285,57.800,0,0,eGFP1
116,17:09:33,2.633,2.919,0,0,eGFP1
117,17:09:50,3.741,17.725,0,0,eGFP1
118,17:09:55,2.622,4.927,0,0,eGFP1
119,17:10:01,1.262,5.697,0,0,eGFP1
120,17:10:07,0.295,6.090,0,0,eGFP1
121,17:10:08,0.218,0.932,0,0,eGFP1
122,17:10:12,0.262,4.169,0,0,eGFP1
123,17:10:16,0.932,3.566,0,0,eGFP1
124,17:10:19,0.251,3.138,0,0,eGFP1
125,17:10:20,0.537,1.360,0,0,eGFP1
126,17:10:21,0.207,0.800,0,0,eGFP1
127,17:11:18,0.318,57.076,0,0,eGFP1
128,17:11:34,12.369,15.969,0,0,eGFP1
