wheel_event,time,Tx,Ti_observed,reset,rtc_reset,device_id
0,14:05:55,0.000,0.000,1,0,eGFP1
1,14:05:57,0.029,1.116,0,0,eGFP1
2,14:05:59,0.050,2.464,0,0,eGFP1
3,14:06:00,0.051,0.709,0,0,eGFP1
4,14:06:02,0.062,1.906,0,0,eGFP1
5,14:06:08,0.028,6.338,0,0,eGFP1
6,14:06:09,0.084,0.610,0,0,eGFP1
7,14:06:18,0.106,9.664,0,0,eGFP1
8,14:06:42,1.468,23.800,0,0,eGFP1
9,14:06:47,2.915,5.033,0,0,eGFP1
10,14:06:48,0.259,1.093,0,0,eGFP1
11,14:06:49,0.171,0.950,0,0,eGFP1
12,14:06:50,0.128,0.852,0,0,eGFP1
13,14:06:51,0.149,0.808,0,0,eGFP1
14,14:06:52,0.129,0.809,0,0,eGFP1
15,14:06:52,0.138,0.775,0,0,eGFP1
16,14:06:53,0.149,0.753,0,0,eGFP1
17,14:06:54,0.118,0.798,0,0,eGFP1
18,14:06:55,0.149,0.720,0,0,eGFP1
19,14:06:55,0.105,0.632,0,0,eGFP1
20,14:06:56,0.117,0.753,0,0,eGFP1
21,14:06:57,0.128,0.687,0,0,eGFP1
22,14:06:57,0.117,0.698,0,0,eGFP1
23,14:06:58,0.106,0.666,0,0,eGFP1
24,14:06:59,0.105,0.654,0,0,eGFP1
25,14:06:59,0.107,0.633,0,0,eGFP1
26,14:07:00,0.095,0.644,0,0,eGFP1
27,14:07:01,0.127,0.698,0,0,eGFP1
28,14:07:01,0.107,0.677,0,0,eGFP1
29,14:07:02,0.117,0.654,0,0,eGFP1
30,14:07:03,0.106,0.677,0,0,eGFP1
31,14:07:03,0.127,0.753,0,0,eGFP1
32,14:07:04,0.105,0.654,0,0,eGFP1
33,14:07:05,0.116,0.786,0,0,eGFP1
34,14:07:06,0.150,0.798,0,0,eGFP1
35,14:07:06,0.105,0.643,0,0,eGFP1
36,14:07:07,0.139,0.929,0,0,eGFP1
37,14:07:09,1.312,2.015,0,0,eGFP1
38,14:07:10,0.116,0.950,0,0,eGFP1
39,14:07:12,0.556,1.522,0,0,eGFP1
40,14:07:15,0.346,3.518,0,0,eGFP1
41,14:07:16,0.117,0.896,0,0,eGFP1
42,14:07:17,0.129,0.732,0,0,eGFP1
43,14:07:18,0.129,0.711,0,0,eGFP1
44,14:07:18,0.105,0.665,0,0,eGFP1
45,14:07:19,0.138,0.665,0,0,eGFP1
46,14:07:20,0.106,0.621,0,0,eGFP1
47,14:07:20,0.106,0.655,0,0,eGFP1
48,14:07:21,0.105,0.632,0,0,eGFP1
49,14:07:22,0.128,1.236,0,0,eGFP1
50,14:07:23,0.139,0.655,0,0,eGFP1
51,14:07:23,0.096,0.655,0,0,eGFP1
52,14:07:24,0.117,0.622,0,0,eGFP1
53,14:07:25,0.094,0.643,0,0,eGFP1
54,14:07:25,0.105,0.621,0,0,eGFP1
55,14:07:26,0.095,0.830,0,0,eGFP1
56,14:07:27,0.215,0.940,0,0,eGFP1
57,14:07:28,0.116,0.632,0,0,eGFP1
58,14:07:30,0.096,2.060,0,0,eGFP1
59,14:07:30,0.140,0.667,0,0,eGFP1
60,14:07:31,0.095,0.621,0,0,eGFP1
61,14:07:32,0.095,0.578,0,0,eGFP1
62,14:07:32,0.106,0.643,0,0,eGFP1
63,14:07:33,0.095,0.578,0,0,eGFP1
64,14:07:33,0.094,0.632,0,0,eGFP1
65,14:07:34,0.095,0.600,0,0,eGFP1
66,14:07:35,0.105,0.983,0,0,eGFP1
67,14:07:36,0.139,0.655,0,0,eGFP1
68,14:07:36,0.118,0.699,0,0,eGFP1
69,14:07:37,0.139,0.775,0,0,eGFP1
70,14:07:38,0.106,0.644,0,0,eGFP1
71,14:07:38,0.105,0.588,0,0,eGFP1
72,14:07:39,0.085,0.700,0,0,eGFP1
73,14:07:40,0.149,0.698,0,0,eGFP1
74,14:07:40,0.095,0.578,0,0,eGFP1
75,14:07:41,0.105,0.577,0,0,eGFP1
76,14:07:47,0.096,5.759,0,0,eGFP1
77,14:07:49,0.106,1.894,0,0,eGFP1
78,14:07:49,0.106,0.622,0,0,eGFP1
79,14:07:51,0.149,1.587,0,0,eGFP1
80,14:07:52,0.117,0.698,0,0,eGFP1
81,14:07:54,0.150,2.356,0,0,eGFP1
82,14:07:55,0.149,1.280,0,0,eGFP1
83,14:07:57,0.182,1.850,0,0,eGFP1
84,14:07:58,0.106,0.666,0,0,eGFP1
85,14:07:58,0.118,0.623,0,0,eGFP1
86,14:07:59,0.083,0.643,0,0,eGFP1
87,14:08:00,0.129,0.755,0,0,eGFP1
88,14:08:00,0.105,0.632,0,0,eGFP1
89,14:08:01,0.095,0.600,0,0,eGFP1
90,14:08:02,0.116,0.720,0,0,eGFP1
91,14:08:02,0.117,0.665,0,0,eGFP1
92,14:08:03,0.106,0.677,0,0,eGFP1
93,14:08:04,0.127,0.841,0,0,eGFP1
94,14:08:05,0.115,0.796,0,0,eGFP1
95,14:08:06,0.138,0.983,0,0,eGFP1
96,14:08:07,0.150,1.522,0,0,eGFP1
97,14:08:08,0.105,0.533,0,0,eGFP1
98,14:08:08,0.084,0.666,0,0,eGFP1
99,14:08:09,0.160,0.830,0,0,eGFP1
100,14:08:10,0.117,0.742,0,0,eGFP1
101,14:08:11,0.096,0.678,0,0,eGFP1
102,14:08:11,0.107,0.601,0,0,eGFP1
103,14:08:12,0.095,0.797,0,0,eGFP1
104,14:08:13,0.128,0.797,0,0,eGFP1
105,14:08:14,0.128,0.786,0,0,eGFP1
106,14:08:14,0.128,0.819,0,0,eGFP1
107,14:08:15,0.150,0.951,0,0,eGFP1
108,14:08:16,0.172,1.017,0,0,eGFP1
109,14:08:18,0.139,1.763,0,0,eGFP1
110,14:08:19,0.107,0.579,0,0,eGFP1
111,14:08:19,0.106,0.687,0,0,eGFP1
112,14:08:20,0.106,0.819,0,0,eGFP1
113,14:08:21,0.172,0.929,0,0,eGFP1
114,14:08:35,0.205,13.451,0,0,eGFP1
115,14:08:35,0.116,0.764,0,0,eGFP1
116,14:08:36,0.140,0.722,0,0,eGFP1
117,14:08:37,0.127,1.356,0,0,eGFP1
118,14:08:38,0.106,0.622,0,0,eGFP1
