wheel_event,time,Tx,Ti_observed,reset,rtc_reset,device_id
0,14:01:49,0.000,0.000,1,0,eGFP1
1,14:01:50,0.072,0.478,0,0,eGFP1
2,14:01:50,0.094,0.687,0,0,eGFP1
3,14:01:53,0.446,2.564,0,0,eGFP1
4,14:02:04,0.028,11.375,0,0,eGFP1
5,14:02:05,0.095,0.896,0,0,eGFP1
6,14:02:06,0.072,0.456,0,0,eGFP1
7,14:02:06,0.084,0.600,0,0,eGFP1
8,14:02:07,0.095,0.458,0,0,eGFP1
9,14:02:09,0.368,2.102,0,0,eGFP1
10,14:02:10,0.128,1.686,0,0,eGFP1
11,14:02:11,0.051,0.347,0,0,eGFP1
12,14:02:12,0.083,1.247,0,0,eGFP1
13,14:02:12,0.061,0.412,0,0,eGFP1
14,14:02:13,0.074,0.590,0,0,eGFP1
15,14:02:18,0.160,4.484,0,0,eGFP1
16,14:02:22,3.990,4.747,0,0,eGFP1
17,14:02:30,7.328,7.470,0,0,eGFP1
18,14:02:39,1.917,9.379,0,0,eGFP1
19,14:02:41,0.489,1.400,0,0,eGFP1
20,14:02:41,0.106,0.852,0,0,eGFP1
21,14:02:42,0.204,0.994,0,0,eGFP1
22,14:02:43,0.106,0.929,0,0,eGFP1
23,14:02:44,0.248,0.928,0,0,eGFP1
24,14:02:45,0.106,1.061,0,0,eGFP1
25,14:02:46,0.139,0.699,0,0,eGFP1
26,14:02:47,0.094,0.599,0,0,eGFP1
27,14:02:48,0.150,1.488,0,0,eGFP1
28,14:02:51,0.129,3.213,0,0,eGFP1
29,14:02:53,0.171,1.400,0,0,eGFP1
30,14:02:54,0.183,0.852,0,0,eGFP1
31,14:02:54,0.106,0.808,0,0,eGFP1
32,14:03:01,0.281,6.240,0,0,eGFP1
33,14:03:01,0.215,0.841,0,0,eGFP1
34,14:03:03,0.150,1.105,0,0,eGFP1
35,14:03:03,0.150,0.830,0,0,eGFP1
36,14:03:04,0.094,0.797,0,0,eGFP1
37,14:03:06,0.676,1.916,0,0,eGFP1
38,14:03:25,17.861,18.618,0,0,eGFP1
39,14:03:25,0.095,0.753,0,0,eGFP1
40,14:03:26,0.161,0.775,0,0,eGFP1
41,14:03:27,0.226,0.918,0,0,eGFP1
42,14:03:28,0.118,0.721,0,0,eGFP1
43,14:03:29,0.129,0.700,0,0,eGFP1
44,14:03:29,0.116,0.906,0,0,eGFP1
45,14:03:30,0.106,0.567,0,0,eGFP1
46,14:03:31,0.083,0.500,0,0,eGFP1
47,14:03:31,0.084,0.600,0,0,eGFP1
48,14:03:32,0.105,0.566,0,0,eGFP1
49,14:03:32,0.084,0.479,0,0,eGFP1
50,14:03:33,0.072,0.456,0,0,eGFP1
51,14:03:33,0.074,0.700,0,0,eGFP1
52,14:03:34,0.116,0.599,0,0,eGFP1
53,14:03:35,0.084,0.578,0,0,eGFP1
54,14:03:35,0.105,0.610,0,0,eGFP1
55,14:03:36,0.106,0.698,0,0,eGFP1
56,14:03:57,0.479,20.880,0,0,eGFP1
57,14:04:10,12.725,13.416,0,0,eGFP1
58,14:04:11,0.104,1.102,0,0,eGFP1
59,14:04:12,0.140,0.678,0,0,eGFP1
60,14:04:13,0.084,0.863,0,0,eGFP1
61,14:04:13,0.127,0.709,0,0,eGFP1
62,14:04:14,0.105,0.654,0,0,eGFP1
63,14:04:15,0.139,1.093,0,0,eGFP1
64,14:04:16,0.117,0.699,0,0,eGFP1
65,14:04:17,0.160,0.983,0,0,eGFP1
