wheel_event,time,Tx,Ti_observed,reset,rtc_reset,device_id
1,00:00:11,17.116,20.343,0,0,eGFP1
2,12:23:18,44414.621,44592.381,0,0,eGFP1
3,12:31:50,34.233,512.027,0,0,eGFP1
4,12:43:56,36.061,726.101,0,0,eGFP1
5,12:55:06,5.846,669.401,0,0,eGFP1
6,13:14:30,0.620,1164.129,0,0,eGFP1
7,13:20:07,13.911,336.995,0,0,eGFP1
8,13:46:27,8.280,1580.553,0,0,eGFP1
9,14:06:09,0.268,1181.767,0,0,eGFP1
10,14:33:00,20.035,1611.385,0,0,eGFP1
11,14:38:41,38.827,341.418,0,0,eGFP1
12,15:19:37,17.676,2456.432,0,0,eGFP1
13,15:19:44,0.300,7.051,0,0,eGFP1
14,15:21:36,1.444,112.161,0,0,eGFP1
15,15:23:43,0.389,126.670,0,0,eGFP1
16,15:24:21,4.702,38.443,0,0,eGFP1
17,15:25:35,17.369,73.808,0,0,eGFP1
18,15:27:19,0.290,104.289,0,0,eGFP1
19,15:27:32,1.223,12.650,0,0,eGFP1
20,15:27:38,0.246,6.085,0,0,eGFP1
21,15:27:41,0.378,3.264,0,0,eGFP1
22,15:36:57,111.933,556.183,0,0,eGFP1
23,15:39:15,0.257,137.679,0,0,eGFP1
24,15:40:46,0.366,91.161,0,0,eGFP1
25,15:52:27,0.520,701.196,0,0,eGFP1
26,15:53:12,1.124,44.645,0,0,eGFP1
27,15:55:20,0.256,127.964,0,0,eGFP1
28,16:30:27,1.191,2107.445,0,0,eGFP1
29,16:30:29,0.037,2.353,0,0,eGFP1
30,16:30:31,0.685,1.310,0,0,eGFP1
