wheel_event,time,Tx,Ti_observed,reset,rtc_reset,device_id
1,01:19:33,0.526,6745.381,0,0,eGFP1
2,01:19:44,1.616,10.132,0,0,eGFP1
3,01:19:51,1.920,7.879,0,0,eGFP1
4,03:38:13,0.614,8301.389,0,0,eGFP1
5,05:21:37,7.758,6204.801,0,0,eGFP1
6,09:38:44,1.580,15427.384,0,0,eGFP1
7,09:38:47,1.285,3.019,0,0,eGFP1
8,09:38:49,0.274,1.569,0,0,eGFP1
9,09:38:51,0.548,2.107,0,0,eGFP1
10,09:38:52,0.275,1.537,0,0,eGFP1
11,09:38:55,0.812,2.206,0,0,eGFP1
12,09:38:56,0.186,1.294,0,0,eGFP1
13,09:38:57,0.230,1.130,0,0,eGFP1
14,09:38:58,0.254,1.285,0,0,eGFP1
15,09:39:01,0.922,2.261,0,0,eGFP1
16,09:39:09,0.539,8.759,0,0,eGFP1
17,09:39:11,0.187,1.306,0,0,eGFP1
18,09:39:12,0.165,1.284,0,0,eGFP1
19,09:39:13,0.143,1.109,0,0,eGFP1
20,09:39:14,0.153,1.053,0,0,eGFP1
21,09:39:15,0.165,1.098,0,0,eGFP1
22,09:39:17,0.154,1.295,0,0,eGFP1
23,09:39:18,0.110,1.877,0,0,eGFP1
24,09:39:25,2.207,6.267,0,0,eGFP1
25,09:39:28,1.416,3.348,0,0,eGFP1
26,09:39:33,0.241,4.554,0,0,eGFP1
27,09:39:34,0.264,1.273,0,0,eGFP1
28,09:39:35,0.198,1.515,0,0,eGFP1
29,09:39:37,0.177,1.329,0,0,eGFP1
30,09:39:39,1.175,2.360,0,0,eGFP1
31,09:39:40,0.176,1.241,0,0,eGFP1
32,09:39:42,0.188,1.208,0,0,eGFP1
33,09:39:43,0.319,1.284,0,0,eGFP1
34,09:42:23,0.187,160.320,0,0,eGFP1
35,09:42:24,0.231,1.054,0,0,eGFP1
36,09:42:25,0.154,1.098,0,0,eGFP1
37,09:42:26,0.143,0.911,0,0,eGFP1
38,09:42:27,0.165,1.043,0,0,eGFP1
39,09:42:28,0.154,1.054,0,0,eGFP1
40,09:42:30,0.144,1.285,0,0,eGFP1
41,09:42:31,0.253,1.109,0,0,eGFP1
42,09:42:32,0.209,1.647,0,0,eGFP1
43,09:42:34,0.395,1.394,0,0,eGFP1
44,09:42:35,0.207,1.009,0,0,eGFP1
45,09:42:40,0.176,5.366,0,0,eGFP1
46,09:42:41,0.176,0.999,0,0,eGFP1
47,09:42:45,0.121,3.622,0,0,eGFP1
48,09:42:46,0.221,0.924,0,0,eGFP1
49,09:42:47,0.165,1.438,0,0,eGFP1
50,09:42:48,0.121,0.790,0,0,eGFP1
51,09:42:49,0.146,0.991,0,0,eGFP1
52,09:42:50,0.176,0.889,0,0,eGFP1
53,09:42:51,0.209,0.922,0,0,eGFP1
54,09:42:51,0.111,0.703,0,0,eGFP1
55,09:42:53,0.264,1.438,0,0,eGFP1
56,09:42:54,0.123,0.814,0,0,eGFP1
57,09:50:47,0.210,473.113,0,0,eGFP1
58,09:50:48,0.134,1.001,0,0,eGFP1
59,09:50:49,0.143,0.966,0,0,eGFP1
60,09:50:49,0.143,0.769,0,0,eGFP1
61,09:50:50,0.231,0.944,0,0,eGFP1
