events,time,date,date-time,reset,rtc_reset,device_id,stream
2,05:53 PM,04-23-2026,04-23-2026 17:53:08,0,0,eGFP2,WHEEL
3,05:53 PM,04-23-2026,04-23-2026 17:53:17,0,0,eGFP2,WHEEL
4,05:53 PM,04-23-2026,04-23-2026 17:53:17,0,0,eGFP2,WHEEL
5,06:05 PM,04-23-2026,04-23-2026 18:05:38,1,0,eGFP2,WHEEL
6,06:05 PM,04-23-2026,04-23-2026 18:05:39,0,0,eGFP2,WHEEL
7,06:05 PM,04-23-2026,04-23-2026 18:05:39,0,0,eGFP2,WHEEL
8,06:05 PM,04-23-2026,04-23-2026 18:05:40,0,0,eGFP2,WHEEL
