wheel_event,time,Tx,Ti_observed,reset,rtc_reset,device_id
1,02:09:33,0.157,11015.595,0,0,eGFP6
2,02:09:40,0.528,7.079,0,0,eGFP6
3,02:09:50,0.364,10.240,0,0,eGFP6
4,02:09:55,0.483,4.532,0,0,eGFP6
5,02:13:15,0.628,200.192,0,0,eGFP6
6,02:13:17,0.199,2.251,0,0,eGFP6
7,02:13:18,0.124,1.067,0,0,eGFP6
8,02:13:20,0.090,1.429,0,0,eGFP6
9,02:13:20,0.067,0.835,0,0,eGFP6
10,02:13:22,0.090,1.209,0,0,eGFP6
11,02:13:23,0.089,1.110,0,0,eGFP6
12,02:13:24,0.178,1.572,0,0,eGFP6
13,02:13:25,0.056,0.715,0,0,eGFP6
14,02:13:26,0.056,0.748,0,0,eGFP6
15,02:13:27,0.077,1.054,0,0,eGFP6
16,02:13:28,0.089,1.099,0,0,eGFP6
17,02:13:29,0.068,0.704,0,0,eGFP6
18,02:13:29,0.057,0.715,0,0,eGFP6
19,02:13:30,0.134,0.605,0,0,eGFP6
20,10:02:41,1.024,28151.618,0,0,eGFP6
21,10:24:57,1.172,1335.850,0,0,eGFP6
22,10:27:59,179.493,182.105,0,0,eGFP6
23,10:28:01,0.693,2.306,0,0,eGFP6
24,10:28:02,0.100,1.000,0,0,eGFP6
25,10:28:03,0.068,0.814,0,0,eGFP6
26,10:28:04,0.067,0.879,0,0,eGFP6
27,10:28:05,0.068,0.726,0,0,eGFP6
28,10:28:06,0.070,0.739,0,0,eGFP6
29,10:28:06,0.058,0.673,0,0,eGFP6
30,10:28:29,0.056,22.771,0,0,eGFP6
31,10:30:45,135.005,135.542,0,0,eGFP6
32,10:30:55,6.674,9.933,0,0,eGFP6
33,10:30:55,0.101,0.825,0,0,eGFP6
34,10:30:56,0.057,0.661,0,0,eGFP6
35,10:30:57,0.056,0.605,0,0,eGFP6
36,10:30:57,0.058,0.596,0,0,eGFP6
37,10:30:58,0.046,0.617,0,0,eGFP6
38,10:30:58,0.056,0.649,0,0,eGFP6
39,10:30:59,0.057,0.660,0,0,eGFP6
40,10:31:00,0.057,0.606,0,0,eGFP6
41,10:31:00,0.046,0.540,0,0,eGFP6
42,10:31:01,0.045,0.550,0,0,eGFP6
43,10:31:01,0.047,0.629,0,0,eGFP6
44,10:31:02,0.058,0.585,0,0,eGFP6
45,10:31:03,0.046,0.562,0,0,eGFP6
46,10:31:03,0.034,0.506,0,0,eGFP6
47,10:31:04,0.046,0.540,0,0,eGFP6
48,10:31:05,0.057,0.891,0,0,eGFP6
49,10:31:07,0.123,2.076,0,0,eGFP6
50,10:31:07,0.057,0.627,0,0,eGFP6
51,10:31:08,0.035,0.496,0,0,eGFP6
52,10:31:08,0.048,0.497,0,0,eGFP6
53,10:31:09,0.035,0.507,0,0,eGFP6
54,10:31:09,0.046,0.485,0,0,eGFP6
55,10:31:10,0.035,0.452,0,0,eGFP6
56,10:31:10,0.035,0.485,0,0,eGFP6
57,10:31:11,0.046,0.573,0,0,eGFP6
58,10:31:11,0.047,0.596,0,0,eGFP6
59,10:31:12,0.046,0.605,0,0,eGFP6
60,10:31:13,0.048,0.596,0,0,eGFP6
61,10:31:13,0.046,0.650,0,0,eGFP6
62,10:31:14,0.057,0.858,0,0,eGFP6
63,10:31:15,0.079,0.935,0,0,eGFP6
64,10:31:16,0.079,1.165,0,0,eGFP6
65,10:31:18,0.123,1.681,0,0,eGFP6
66,10:31:19,0.123,1.528,0,0,eGFP6
67,10:31:23,0.144,3.425,0,0,eGFP6
